sentence_num,ref,hyp,sub,sub_count,del,del_count,ins,ins_count,nochange
1,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um before we  stop yeah ok hello *** um good morning sir how can i help you this morning,should -> before; start -> stop,2,how,1,,0,18
2,**** ** sorry to hear that um ** and and when you say diarrhea **** whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,yeah im sorry to hear that um uh and and when you say diarrhea what    do you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,whatd -> do,1,,0,yeah; im; uh; what,4,31
3,ok ***  fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,fine -> right,1,,0,all,1,33
4,you stopped vomiting ok and was your vomit i know its not a nice  thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know its not * nice things to talk about but was it just normal food  color yeah and there was no blood in your vomit is that right,thing -> things; colour -> color,2,a,1,,0,34
5,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned  the vomiting uh anything else that comes to mind,your -> the,1,,0,,0,29
6,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of foods have you managed to eat ** anything,,0,if,1,,0,16
7,ok fine um and ** ** sir these started three days ago the symptoms are you aware of any triggers which may have caused  the symptoms ** uh to kick on so for example  think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and so uh  uh  this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway  food or eating out or being around other people with similar symptoms,sir -> uh; these -> this; the -> your; think -> things; foods -> food,5,,0,so; uh; to,3,41
8,do you remember where you ate,do you remember  what you ate,where -> what,1,,0,,0,5
9,ok ok fine um alright and uh in terms of your your overall health are you normally     fit and well or uh,ok ok fine um   right and uh in terms of your your overall health are you normally fitting *** well or uh,alright -> right; fit -> fitting,2,and,1,,0,19
10,ok fine and in terms of just your **** day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your your day to day life you said its been affecting your life um in what way has it been affecting your life,,0,,0,your,1,29
11,and have you are you currently working at the moment **,and have you are you currently working at the moment uh,,0,,0,uh,1,10
12,ok have you been going into work the last three days or  have you been at home,ok have you been going   to work the last three days or youve *** been at home,into -> to; have -> youve,2,you,1,,0,14
13,fine and you said you mentioned you live with your wife and two children is that right,right and you said you mentioned you live with  the wife and two children is that right,fine -> right; your -> the,2,,0,,0,15
14,** *** right alright um just a couple of other  question we need to ask sir um do you smoke at all,ok all right ******* um just a couple of other questions we need to ask  uh um do you smoke at all,question -> questions; sir -> uh,2,alright,1,ok; all,2,17
15,ok so um er normally at this stage  i like to um examine you if thats ok but um um but but **** having listened to your story sir i think  uh um just to recap *** for the last three days youve been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand side um and vomiting and   fever       and youre quite weak and lethargic um you mentioned   you    had this chinese takeaway as little as three days ago and i wondered whether that might be the cause of your problems,ok so um uh normally at this stage id like to um examine you if thats ok but um um but but have      a   listen to your story  so i think you um just to recap you for the last three days youve been having loose stool diarrhea a bit of tummy pain ** mainly on the left hand side um and vomiting and feeling generally ***** quite weak and lethargic um you mentioned youre having this chinese takeaway as   well ** three days ago and i   wonder whether that might be the cause of your problems,er -> uh; i -> id; having -> a; listened -> listen; sir -> so; uh -> you; fever -> feeling; and -> generally; you -> youre; had -> having; little -> well; wondered -> wonder,12,uh; youre; as,3,have; you,2,80
16,um it seems like you may have something uh called gastroenteritis which ** essentially just a tummy bug or infection of your uh of your tummy,um it seems like you may have something uh called gastroenteritis which is essentially just a tummy bug or infection of your ** of your tummy,,0,uh,1,is,1,24
17,uh mainly caused by viruses but there can be a possibility of bacteria uh causing  its symptoms um,um mainly caused by viruses but    it can be a possibility of bacteria uh causing your symptoms um,uh -> um; there -> it; its -> your,3,,0,,0,15
18,at this stage uh what what wed recommend is just what we say conservative management so um i dont think you need anything like antibiotics its really just um making sure youre well hydrated so drinking ****** ** fluids,at this stage uh what what wed recommend is just what we say conservative management so uh i dont think you need anything like antibiotics its really just um making sure youre well hydrated so drinking plenty of fluids,um -> uh,1,,0,plenty; of,2,36
19,six seven times a day and you *** ***   mention its mainly watery have you noticed any other things like blood in your stools,sixty seven times a day and you men you mentioned  it mainly watery have you noticed any other things like blood in your stools,six -> sixty; mention -> mentioned; its -> it,3,,0,men; you,2,19
20,um ** there are things like **** dioralyte you can get from the pharmacy which uh its um it helps ********* helps replenish your minerals and vitamins,um uh there are things like diur      like you can get from the pharmacy which uh its um it helps replenish  some        of your minerals and vitamins,dioralyte -> like; helps -> some; replenish -> of,3,,0,uh; diur; replenish,3,21
21,um and if you are having vomiting *** diarrhea i would say recommend that in the first you know first couple of days,um and if you are having vomiting and diarrhea i would say recommend that ** the first you know first couple of days,,0,in,1,and,1,21
22,** if you are feeling feverish and weak  eh taking some paracetamol uh ****** two tablets up to four times a day for the first few days can also help,um if you are feeling feverish and weak you taking some paracetamol uh twenty two tablets up to four times a day for the first few days can also help,eh -> you,1,,0,um; twenty,2,27
23,i will certainly advise you to take some time off work actually i know youre quite keen to work but i would say ** the next    two two to three days ** as the infection clears from your system to take some time off and rest,ill **** certainly advise you to take some time off work actually i know youre quite keen to work  um i would say in the next twenty two to three days um as the infection clears from your system to take some time off and rest,i -> ill; but -> um; two -> twenty,3,will,1,in; um,2,40
24,um ill admit if your symptoms havent got better you know in in three to four days id like *** to come **** and see you again,um you  know if your symptoms havent got better you know in in three to four days id like you to come back and see you again,ill -> you; admit -> know,2,,0,you; back,2,23
25,because if it is ongoing then we have to wonder whether ****** something else  caused  your symptoms,because if it is ongoing then we have to wonder whether theres something else causing these symptoms,caused -> causing; your -> these,2,,0,theres,1,14
26,uh ** and we may need to do further tests like um taking a sample of your stool so we can test that,uh uh and we may need to do further tests like um taking a sample of your stool so we can test that,,0,,0,uh,1,22
27,ok and you mentioned youve had some pain in your tummy as well * whereabouts is the pain exactly,ok and you mentioned youve had some pain in your tummy as well w whereabouts is the pain exactly,,0,,0,w,1,18
28,ok and is  uh is the treatment plan clear,ok   i is the is the treatment plan clear,and -> i; uh -> the,2,,0,,0,7
29,ok and   is the pain is that is it there all the time or does it come and go,ok and does the pain is that is it there all the time or does it come and go,is -> does,1,,0,,0,18
30,come and go does the pain move anywhere else for example towards your back,**** *** go does the pain move anywhere else arm ******* towards your back,for -> arm,1,come; and; example,3,,0,10
31,oh hey um ive just had some ** diarrhea for the last three days um and its been affecting me i need to stay close to the toilet and um yeah its been affecting my day to day activities,hi *** um ive just had some um diarrhea for the last three days um and its been affecting me i need to stay close to the toilet and um yeah its been affecting my day to day activities,oh -> hi,1,hey,1,um,1,36
32,** uhno just  maybe my stomach,um   no just mainly my stomach,uhno -> no; maybe -> mainly,2,,0,um,1,3
33,um yeah it doesnt feel like ** yeah it just makes me feel weak i havent had a fever um at the moment but i did notice um a temperature when the symptoms started so um yeah around about three or four days ago,um yeah it doesnt feel like uh yeah ** just  make me feel weak i havent had a fever um at the moment but i did notice um a temperature when the symptoms started so um yeah around about three or four days ago,makes -> make,1,it,1,uh,1,41
34,yeah  i uh i didnt mention my temperature no but i felt um just a bit hot  and yknow,yeah ii ** i didnt mention my temperature no but i felt um just a bit hot yeah  yeah,i -> ii; and -> yeah; yknow -> yeah,3,uh,1,,0,15
