sentence_num,ref,hyp,sub,sub_count,del,del_count,ins,ins_count,nochange
1,my left ear is ok but the right one feels like ** its being stabbed with a nail,my left ear is ok but the right one feels like it  is being stabbed with a nail,its -> is,1,,0,it,1,16
2,* im suffering from sharp cough accompanied by phlegm,i am suffering from sharp cough accompanied by phlegm,im -> am,1,,0,i,1,7
3,when i move my shoulder ** its like lightning is being sent through my shoulder,when i move my shoulder it  is like lightning is being sent through my shoulder,its -> is,1,,0,it,1,13
4,i have pimples  in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,in -> and,1,,0,,0,13
5,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working dust,desk -> dust,1,,0,,0,17
6,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife  vial i was cooking,while -> vial,1,,0,,0,10
7,i *** dont have problems taking in breath but out breath is so heavy,i don    t have problems taking  n breath but out breath is so heavy,dont -> t; in -> n,2,,0,don,1,11
8,sometimes i cough because * im a smoker,sometimes i cough because i am a smoker,im -> am,1,,0,i,1,6
9,my foot hurts me a lot of playing football,my foot hurts me a lot ** playing football,,0,of,1,,0,8
10,i was playing football and injuried with joint pain,i was playing football and  injured with joint pain,injuried -> injured,1,,0,,0,8
11,i feel like i went to an  acupunctures practice and had one hundred needles in my shoulder,i feel like i went to an acupuncturist practice and had one hundred needles in my shoulder,acupunctures -> acupuncturist,1,,0,,0,16
12,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes  pus,puss -> pus,1,,0,,0,10
13,i have a foot ache although i dont walk a lot,i have a foot ache    adult i dont walk a lot,although -> adult,1,,0,,0,10
14,my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda ***** why,,0,drink,1,,0,9
15,i feel pain inside i   do not know what it is,i feel pain inside i dont *** know what it is,do -> dont,1,not,1,,0,9
16,i get terrible headaches every few months and when   i get them my vision is affected,i get terrible headaches every few months and what not get dumb my vision is affected,when -> what; i -> not; them -> dumb,3,,0,,0,13
17,i had a collision while playing soccer my knee buckled and now its unstable,i had a collision while playing soccer my knee buckled and now  is unstable,its -> is,1,,0,,0,13
18,this long scar on my left  buttock is from falling off my mountain bike,this long scar on my left buttocks is from falling off my mountain bike,buttock -> buttocks,1,,0,,0,13
19,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold the last time i  traveled by plane and i still have * discomfort in my ears,travelled -> traveled,1,a,1,,0,18
20,i have a dry skin,i have * dry skin,,0,a,1,,0,4
21,i cant move my leg there is * pain in the joint,i cant move my leg there is a pain in the joint,,0,,0,a,1,11
22,i have a pain in my trapes,i have a pain in my  traps,trapes -> traps,1,,0,,0,6
23,i have tried to  relief it but i cant,i have tried to relieve it but i cant,relief -> relieve,1,,0,,0,8
24,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like a clot on my chest that leaves me breathless,claw -> clot,1,,0,,0,12
25,i  hve cut my finger because of playing football and i to apply pain relief cream but it does not help,i have cut my finger because of playing football and i ** apply pain relief cream but it does not help,hve -> have,1,to,1,,0,19
26,i fell a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders,fell -> feel,1,,0,,0,8
27,my ear ache when * im listening to music,my ear ache when i am listening to music,im -> am,1,,0,i,1,7
28,i have acne in my face and other ******* problema in my derma like itching,i have acne in my face and other problem       uh in my derma like itching,problema -> uh,1,,0,problem,1,13
29,i am having running nose,i am having   runny nose,running -> runny,1,,0,,0,4
30,i have  a     ear ache when i go to the pool,i have an earache **** when i go to the pool,a -> an; ear -> earache,2,ache,1,,0,8
31,sometimes when  it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when its ** cold outside my face hurts especially around the pimples that are ready to pop,it -> its,1,is,1,,0,16
32,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is *** ***** *** oozing,,0,now; puffy; and,3,,0,21
33,i dont do anything at home and * still i feel exhausted,i dont do anything at home and i still * feel exhausted,,0,i,1,i,1,10
34,i have a great stomach ache and i cant eat      any thing,i have a great stomach ache and * cant eat anything *****,any -> anything,1,i; thing,2,,0,9
35,i felt my heart hurts when i ran for * along distance,i felt my heart hurts when i ran for a  long distance,along -> long,1,,0,a,1,10
36,i feel dizzy when i *** set infront of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i sit  in   front of my laptop for an hour or two what possibly could be the reason,set -> in; infront -> front,2,,0,sit,1,19
37,my shoulder has * agreat pain,my shoulder has a  great pain,agreat -> great,1,,0,a,1,4
38,yesterday i had a  shouder pain,yesterday i had a shoulder pain,shouder -> shoulder,1,,0,,0,5
39,my neck is annoying me i cant sleep bacause of it,my neck is annoying me i cant sleep because of it,bacause -> because,1,,0,,0,10
40,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i   swallow too much water through my nose because  the     sinti is killing me now,swallowed -> swallow; this -> the; sinusitis -> sinti,3,,0,,0,20
41,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,grey -> gray,1,,0,,0,21
42,i complain * alot with my neck pain and i really need to be better,i complain a  lot with my neck pain and i really need to be better,alot -> lot,1,,0,a,1,13
