sub,del,ins,hit,wer
1,0,0,25,0.038461538461538464
2,0,0,13,0.13333333333333333
4,0,2,23,0.2222222222222222
3,0,0,14,0.17647058823529413
3,0,2,12,0.3333333333333333
2,0,0,9,0.18181818181818182
3,1,0,17,0.19047619047619047
1,0,0,23,0.041666666666666664
1,0,0,6,0.14285714285714285
5,1,0,12,0.3333333333333333
1,1,1,11,0.23076923076923078
1,0,0,4,0.2
4,0,0,29,0.12121212121212122
0,0,0,8,0.0
3,1,0,14,0.2222222222222222
0,1,0,10,0.09090909090909091
1,1,0,18,0.1
2,0,0,10,0.16666666666666666
4,1,1,16,0.2857142857142857
3,0,2,14,0.29411764705882354
2,0,0,19,0.09523809523809523
2,0,0,6,0.25
0,0,0,10,0.0
1,0,0,4,0.2
0,0,0,8,0.0
0,1,0,8,0.1111111111111111
0,0,0,15,0.0
1,1,0,23,0.08
2,0,0,7,0.2222222222222222
2,0,0,11,0.15384615384615385
0,1,0,3,0.25
0,0,0,4,0.0
1,0,0,6,0.14285714285714285
2,0,0,3,0.4
0,0,0,5,0.0
0,0,0,2,0.0
1,0,0,19,0.05
2,0,1,16,0.16666666666666666
1,1,0,2,0.5
0,0,0,7,0.0
0,0,0,7,0.0
0,0,0,6,0.0
0,1,0,19,0.05
3,1,2,22,0.23076923076923078
1,2,0,46,0.061224489795918366
11,3,1,39,0.2830188679245283
4,2,0,19,0.24
3,0,0,42,0.06666666666666667
5,2,0,67,0.0945945945945946
3,2,0,17,0.22727272727272727
0,1,0,2,0.3333333333333333
2,3,0,12,0.29411764705882354
2,0,0,2,0.5
5,1,3,17,0.391304347826087
8,2,0,19,0.3448275862068966
5,3,0,14,0.36363636363636365
1,0,0,2,0.3333333333333333
0,4,0,7,0.36363636363636365
4,2,0,15,0.2857142857142857
5,3,0,11,0.42105263157894735
2,0,1,8,0.3
1,1,0,4,0.3333333333333333
3,0,0,5,0.375
5,0,0,7,0.4166666666666667
0,0,0,9,0.0
2,0,2,7,0.4444444444444444
4,1,0,5,0.5
3,2,0,7,0.4166666666666667
1,0,0,9,0.1
2,0,0,2,0.5
2,4,1,17,0.30434782608695654
4,0,3,1,1.4
0,0,0,10,0.0
9,5,0,4,0.7777777777777778
6,1,0,8,0.4666666666666667
1,1,1,11,0.23076923076923078
