,Unnamed: 0,refs,del_25,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate anticoagulation,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate anticoagulation
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and prevail trials demonstrated that the watchman left atrial appendage device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect a composite endpoint of stroke cardiovascular death and systemic embolism,the watchman left atrial appendage device in combination with shortterm warfarin therapy is noninferior to longterm therapy with respect to a composite endpoint of stroke cardiovascular death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly watchman confers a significant reduction in lifethreatening compared to oac,importantly watchman confers a significant reduction in lifethreatening complications compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although directacting oral anticoagulant are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage closure may be preferable to doac,although directacting oral anticoagulant are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage closure may be preferable to doac
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations warranting strong consideration of laac include patients with to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and undergoing transcatheter aortic valve replacement or left atrial isolation,populations warranting strong consideration of laac include patients with prior to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and undergoing transcatheter aortic valve replacement or left atrial isolation
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated thrombosis is an complication of laac and doac may be preferential to warfarin for prevention and treatment of complication remains unexplored,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,clinical trials comparing doac to in these unique populations are either ongoing or needed,clinical trials comparing doac to ct in these unique populations are either ongoing or needed
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,investigate the prevalence of among female patients with generalized osteoarthritis in comparison to an age and sex matched,to investigate the prevalence of osteoarthritis among female patients with generalized osteoesophagitis in comparison to an age and sex matched population
8,74732,to identify clusters of comorbidities in both groups,to identify clusters of comorbidities in groups,to identify clusters of comorbidities in both groups
9,74733,an observational crosssectional study was conducted,observational crosssectional study was conducted,observational crosssectional study was conducted
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,female patients with hand and osteoarthritis according the american college of rheumatology classification criteria were invited to participate in the study,female patients with hand and osteoarthritis according to the american college of rheumatology classification criteria were invited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participants without musculoskeletal symptoms history evidence of osteoarthritis or inflammatory disease were also included,a control group of participants without musculoskeletal symptoms history of osteoarthritis or inflammatory disease were also included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,cardiovascular pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in groups,cardiovascular pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in both study groups comorbidity cluster and factor analysis was performed,in both study groups comorbidity cluster and factor analysis was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension leiomyoma gastroesophageal reflux disease diverticulosis upper tract ulcers depression diseases vertigo and surgery to otoclerosis,the comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases vertigo and surgery to otoclerosis
15,74739,we report a high comorbidity rate in goa,we a high comorbidity rate in goa,we had a high comorbidity rate in goa
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allowed to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allowed to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to understand the links between goa and nonmusculoskeletal comorbidities
18,74742,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is concerning,there is an increasing incidence of diverticulosis and diverticulitis in the younger and its occurrence in very young individual is concerning,there is an increasing incidence of diverticulosis and divertulitis in the younger age and its occurrence in very young individual is concerning
19,74743,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant,abdominal examination revealed mild tenderness in the right lower abdominal quadrant,abdominal examination revealed mild tenderness in the right lower abdominal quadrant
20,74744,computed tomography  scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes suggestive of acute diverticulitis in the distal ascending colon,computed tomography scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal pericolonic infiltrative changes suggestive of acute in the distal ascending colon,computed tomography scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal pericolonic infiltrative changes suggestive of acute bleeding in the distal ascending colon
21,74745,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved
22,74746,this case illustrates the importance of considering acute diverticulitis in the differential diagnosis of right lower quadrant pain when evaluating a young patient,this case illustrates the importance of considering acute diverticulitis in differential diagnosis of right lower quadrant pain when evaluating a patient,this case illustrates the importance of considering acute diverticulitis in differential diagnosis of right lower quadrant pain when evaluating a patient
23,74747,intestinal tuberculosis is an infectious disease of the extrapulmonary manifestation with the mycobacteria tuberculosis complex,intestinal tuberculosis is an infectious disease of the extrapulmonary manifestation with the mycobacteria tuberculosis complex,intestinal tuberculosis is an infectious disease of the extrapulmonary manifestation with the mycobacteria tuberculosis complex
24,74748,in developed countries this disease is rarely seen,in developed this disease is rarely seen,in developed children this disease is rarely seen
25,74749,the clinical features are heterogeneous and unspecific,clinical features are heterogeneous and unspecific,clinical features are heterogeneous and unspecific
26,74750,furthermore intestinal tuberculosis poses diagnostic challenges,furthermore intestinal tuberculosis poses diagnostic challenges,furthermore intestinal tuberculosis poses diagnostic challenges
27,74751,regarding intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus pcr examination and culture methods show only poor sensitivity and specificity,regarding intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus examination and culture methods show only poor sensitivity and specificity,regarding intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus examination and culture methods show only poor sensitivity and specificity
28,74752,in this case series we present three patients suffering from intestinal tuberculosis who were diagnosed and treated successfully,in this case series we present three suffering from intestinal tuberculosis were diagnosed and treated successfully,in this case series we present three patients suffering from intestinal tuberculosis were diagnosed and treated successfully
29,74753,furthermore we review the literature about the pitfalls of the diagnostic approaches and the treatment options of intestinal tuberculosis,furthermore we review the literature about the pitfalls of the diagnostic approaches and the treatment options of intestinal tuberculosis,furthermore we review the literature about the pitfalls of the diagnostic approaches and the treatment options of intestinal tuberculosis
30,74754,the prevalence of obesity continues to rise and along with it comes a multitude of healthrelated consequences,the prevalence of obesity continues to rise and along with it comes a multitude of healthrelated consequences,the prevalence of obesity continues to rise and along with it comes a multitude of healthrelated consequences
31,74755,the healthcare community has consistently struggled with providing treatment options to obese patients in part due to the reluctance of patients in pursuing the more effective  surgical approaches such as sleeve gastrectomy and roueny gastric bypass,community has consistently struggled with providing treatment options to obese patients in part due to the reluctance of patients in pursuing the more effective surgical approaches such as sleeve gastrectomy and gastric bypass,community health has consistently struggled with providing treatment options to obese patients in part due to the reluctance of patients  in pursuing the more effective surgical approaches such as sleeve gastrectomy and gastric bypass
32,74756,on the other hand the less invasive approach such as lifestylebehavioral interventions and pharmacotherapy  have very limited efficacy especially in the morbidly obese patients,the other hand the less invasive approach such lifestylebehavioral and pharmacotherapy very limited efficacy especially in the morbidly obese patients,on the other hand the less invasive approach such as lifestylebehavioral and pharmacotherapy have very limited efficacy especially in the morbidly obese patients
33,74757,despite our best efforts the epidemic of obesity continues to rise and pose enormous costs on our healthcare system and society,our best efforts epidemic obesity continues to rise and pose enormous costs on our healthcare system and society,despite our best efforts epidemic obesity continues to rise and pose enormous costs on our healthcare system and society
34,74758,bariatric endoscopy is an evolving field generated to combat this epidemic through minimally invasive techniques,bariatric endoscopy an evolving generated to combat this through minimally invasive techniques,bariatric endoscopy is an evolving technology generated to combat this problem through minimally invasive techniques
35,74759,these procedures can be performed in an ambulatory setting are potentially reversible repeatable and pose less complications than their invasive surgical counterparts,these procedures can be performed in an ambulatory setting are potentially reversible repeatable and less complications their invasive surgical counterparts,these procedures can be performed in an ambulatory setting with potentially reversible repeatable and less complications than their invasive surgical counterparts
36,74760,these modalities are designed to alter gut metabolism by means of space occupation malabsorption or restriction,these are designed to alter gut metabolism by means of occupation malabsorption or restriction,these are designed to alter gut metabolism by means of occupation malabsorption or restriction
37,74761,in this review we will discuss different bariatric endoscopic options  their advantages and disadvantages and suggest a new paradigm where providers may start incorporating this modality in their treatment approach for obese patients,in this review we will discuss different bariatric options their advantages and disadvantages and suggest a new paradigm where providers may start incorporating this modality in their treatment approach for obese,in this review we will discuss different bariatric options their advantages and disadvantages and suggest a new paradigm where providers may start incorporating this modality in their treatment approach for obese patients
38,74762,diagnosis of malignancy in the vermiform appendix is quite rare,diagnosis of malignancy in vermiform appendix quite rare,diagnosis of malignancy in vermiform appendix is quite rare
39,74763,the most common histological malignant neoplasia found in this tiny portion of the gastrointestinal tract is represented by the mucinous adenocarcinoma,the most histological malignant neoplasia found in this tiny portion of the gastrointestinal tract is represented by the mucinous adenocarcinoma,the most common histological malignant neoplasia found in this tiny portion of the gastrointestinal tract is represented by the mucinous adenocarcinoma
40,74764,early diagnosis is outside the rule since most cases at this stage are symptomless,diagnosis is outside the rule since most cases at this stage are symptomless,diagnosis is outside the rule since most cases at this stage are symptomless
41,74765,physical examination and laboratory workup were poor in diagnostic findings,physical examination and laboratory workup were poor in diagnostic findings,physical examination and laboratory workup were poor in diagnostic findings
42,74766,the computed tomography images were compatible with the diagnosis of appendicitis andor appendiceal neoplasia,the computed tomography images were compatible with the diagnosis of appendicitis andor appendiceal neoplasia,the computed tomography images were compatible with the diagnosis of appendicitis andor appendiceal neoplasia
43,74767,the patient underwent a laparotomy and right hemicolectomy,the patient underwent a laparotomy and right hemicolectomy,the patient underwent a laparotomy and right hemicolectomy
44,74768,the patient outcome was uneventful and was referred to an oncological center,the patient outcome was uneventful and was referred to an oncological center,the patient outcome was uneventful and was referred to an oncological center
45,74769,the increased prevalence of reflux disease in obese patients combined with widespread availability of laparoscopic antireflux surgery has increased the likelihood that more patients will seek bariatric surgery having previously undergone fundoplication,the increased prevalence of reflux disease in obese patients combined with widespread availability of laparoscopic antireflux surgery has increased the likelihood that more seek bariatric surgery having undergone fundoplication,the increased prevalence of reflux disease in obese patients combined with widespread availability of laparoscopic antireflux surgery has increased the likelihood that more patients seek bariatric surgery having undergone fundoplication
46,74770,this study examined our series of laparoscopic bariatric surgery after previous antireflux surgery without takedown of the previous fundoplication,this study examined our of laparoscopic bariatric surgery after previous antireflux surgery without takedown of previous fundoplication,this study examined our experience of laparoscopic bariatric surgery after previous antireflux surgery without takedown of previous fundoplication
47,74771,we discuss our results our technique and the tips and tricks to avoid complication after this procedure,we our results our and the tips and tricks to avoid complication after procedure,we report our results our experience and the tips and tricks to avoid complication after this procedure
48,74772,we operated on patients suffering from obesity who had already undergone laparoscopic nissen,we on patients suffering from obesity who had already undergone laparoscopic nissen,we focused on patients suffering from obesity who had already undergone laparoscopic nissen
49,74773,the patients were eligible for bariatric surgery according to the french national institute of healths criteria for bariatric surgery,the patients were eligible for bariatric surgery according to french national institute of healths for bariatric surgery,the patients were eligible for bariatric surgery according to french national institute of healths criteria for biatric gastrointestinal surgery
50,74774,the preoperative assessment involved gastroscopy with biopsies looking for helicobacter pylori oesophagogastroduodenoscopy investigation for sleep apnoea syndrome and a full laboratory assessment,the preoperative assessment involved gastroscopy with biopsies looking pylori oesophagogastroduodenoscopy investigation for sleep apnoea syndrome and a full assessment,the preoperative assessment involved gastroscopy with biopsies looking for h pylori oesophagogastroduodenoscopy investigation for sleep apnoea syndrome and a full assessment
51,74775,the patients took part in their choice of surgery,the took part in choice of surgery,the patients took part in choice of surgery
52,74776,the patients postoperative course was uncomplicated,the patients postoperative course was uncomplicated,the patients postoperative course was uncomplicated
53,74777,no patients had symptoms of gastroesophageal reflux late after surgery and good gastrointestinal comfort was achieved ,no had symptoms of gastroesophageal reflux late after surgery good gastrointestinal comfort was achieved,no patients had symptoms of gastroesophageal reflux late after surgery good gastrointestinal comfort was achieved
54,74778,all of the patients were satisfied,all of the patients were satisfied,all of the patients were satisfied
55,74779,all patients exhibited significant weight loss,all patients exhibited significant weight loss,all patients exhibited significant weight loss
56,74780,bariatric surgery is possible after fundoplication without taking down the fundoplication,bariatric surgery is possible after fundoplication without taking down the fundoplication,bariatric surgery is possible after fundoplication without taking down the fundopslication
57,74781,it appears to be a viable alternative in patients seeking weight loss surgery after fundoplication which is currently assumed contraindicated,appears to be a viable alternative in patients seeking loss surgery after fundoplication which is assumed contraindicated,appears to be a viable alternative in patients seeking weight loss surgery after fundoplication which is assumed contraindicated
58,74782,anisakiasis is a zoonotic parasitic disease caused by consumption of raw or undercooked fish or seafood infected with nematodes of the anisakis pseudoterranova or contracaecum genera,anisakiasis is a zoonotic parasitic disease caused by consumption raw or undercooked fish or infected with nematodes of the pseudoterranova or contracaecum genera,anisakiasis is a zoonotic parasitic disease caused by consumption of raw or undercooked fish or infected with nematodes of the pseudoterranova or contracaecum genera
59,74783,here we describe the first case of anisakiasis in colombia and summarize the available literature,here we describe first case anisakiasis in colombia and summarize the available,here we describe the first case of anisakiasis in colombia and summarize the available literature
60,74784,the physical examination revealed moderate tenderness of the epigastric region the laboratory evaluation showed leukocytosis and a simple xray and ecg showed no abnormalities,the physical examination revealed moderate tenderness the epigastric region the laboratory leukocytosis a simple xray and ecg showed no abnormalities,the physical examination revealed moderate tenderness in the epigastric region the laboratory leukocytosis a simple xray and ecg showed no abnormalities
61,74785,the diagnosis was made by endoscopic examination which revealed a thickened gastric wall and a moving larval worm,the diagnosis was endoscopic examination which a thickened gastric wall and a moving larval worm,the diagnosis was an endoscopic examination which revealed a thickened gastric wall and a moving larval worm
62,74786,an anisakis larva was found and extracted endoscopically which relieved the pain of the patient,an anisakis larva was found and extracted endoscopically which relieved the pain of the patient,an anisakis larva was found and extracted endoscopically which relieved the pain of the patient
63,74787,clinically anisakiasis may present as a gastric intestinal extragastrointestinal or allergic disease,clinically anisakiasis may as a gastric intestinal or allergic disease,clinically anisakiasis may present as a gastric intestinal or allergic disease
64,74788,diagnosis and treatment of anisakiasis are made by a dietary history direct visualization and endoscopic extraction of possible larvae which is the only effective therapy,diagnosis and treatment of anisakiasis are made by dietary direct visualization and endoscopic extraction of possible larvae which is the only effective therapy,diagnosis and treatment of anisakiasis are made by dietary direct visualization and endoscopic extraction of possible larvae which is the only effective therapy
65,74789,we present the first case of bariatric surgery in a patient with ehlersdanlos syndrome and outline management challenges in the context of the relevant literature,we present the case of bariatric surgery in a patient ehlersdanlos syndrome and management challenges in the context of relevant literature,we present the case of bariatric surgery in a patient with ehlersdanlos syndrome and management challenges in the context of relevant literature
