,refs,trans,__index_level_0__,model_corrected
0,i feel dizzy whenever i stand up,i feel dizzy whenever i stand up,5273,i feel dizzy whenever i stand up
1,when i stand up too quickly i feel as though im going to faint,when i stand up too quickly i feel as though im going to faint,5274,when i stand up too quickly i feel as though im going to faint
2,i feel a boneonbone pain in my knees when i climb stairs,i feel a bone on bone pain in my knees when i climb stairs,5275,i feel a boneonbone pain in my knees when i climb stairs
3,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm no matter how much i wrap up or how high i put the heating on,5276,i cannot get warm no matter how much i wrap up or how high i put the heating on
4,i think theres something wrong with my wound it does not seem to heal like it should,i think there is something wrong with my wound it does not seem to heal like it should,5277,i think theres something wrong with my wound it does not seem to heal like it should
5,my foot hurts and i cant turn it  maybe its broken,my foot hurts and i cant turn it maybe its broken,5278,my foot hurts and i cant turn it  maybe its broken
6,is my cut infected or just healing,it might get in fact or just healing,5279,it might get in fact or just healing
7,i was very active in sports but now my body is feeling pain,i was very active in sports but now my body is feeling pain,5280,i was very active in sports but now my body is feeling pain
8,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation,5281,i cant hear out of my ear properly i feel like there is something in it causing irritation
9,i have front head pain and when i get it the light bothers me,i have front head pain and when i get it the light bothers me,5282,i have front head pain and when i get it the light bothers me
10,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,5283,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better
11,i cut myself and im bleeding,i cut myself and i am bleeding,5284,i cut myself and im bleeding
12,when i eat too much sugar my body gets weak and dizzy,when i do my sugar my body gets weak and dizzy,5285,when i do my sugar my body gets weak and dizzy
13,my head hurts and i lose the sensation in my face then lose sight in my eye,my head hurts and i lose sensation in my face i lose sight in my eye,5286,my head hurts and i lose sensation in my face i feel dizzy when i look up
14,even if the temperature is high in the house  my body is always cold,even if the temperature is high in the house my body is always cold,5287,even if the temperature is high in the house  my body is always cold
15,i broke my ankle while doing rock climbing in the carpathians,i broke my ankle while doing rock climbing in car at the end,5288,i broke my ankle while doing rock climbing in car at the end
16,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach,5289,i have a sharp pain in my lower stomach
