dataset,ops,probability,baseline-wer,wer
babylon,del,01,0.10098198134705288,0.14649846124932459
gcd,del,01,0.09812332439678284,0.16067917783735478
kaggle,del,01,0.10232210168906282,0.10961643599113746
pubmed,del,01,0.1001833350253504,0.09823652009817681
babylon,del,02,0.1962788075269575,0.2556557896962436
gcd,del,02,0.19463806970509384,0.2647006255585344
kaggle,del,02,0.19795413345610452,0.21884441630938337
pubmed,del,02,0.1980555738027984,0.18773028849886236
babylon,del,03,0.29696713416496345,0.3582587450372354
gcd,del,03,0.3075960679177837,0.37229669347631816
kaggle,del,03,0.3001899116623025,0.3255690156245504
pubmed,del,03,0.29831654255223855,0.27259589257881317
babylon,del,04,0.3938144572086358,0.475450466323678
gcd,del,04,0.4023235031277927,0.48811438784629135
kaggle,del,04,0.40061289672834,0.45125600667568266
pubmed,del,04,0.4008229174753513,0.3867234388156677
babylon,del,05,0.49336340357553976,0.5857001902882515
gcd,del,05,0.5070598748882931,0.6
kaggle,del,05,0.49869076050988403,0.5731735389750525
pubmed,del,05,0.49795464996148175,0.4867276190931187
babylon,ins,01,0.1004181643056828,0.0902459651842977
gcd,ins,01,0.09865951742627346,0.08918677390527256
kaggle,ins,01,0.10150202860184732,0.016732368428624866
pubmed,ins,01,0.10030874334887999,0.025822170997235046
babylon,ins,02,0.19914487748725537,0.10340169614959946
gcd,ins,02,0.19606791778373547,0.11027703306523681
kaggle,ins,02,0.2002848674934538,0.01756682876298449
pubmed,ins,02,0.20043236012493057,0.028706562438415555
babylon,ins,03,0.2957102920102427,0.11800220828341203
gcd,ins,03,0.30777479892761395,0.1451295799821269
kaggle,ins,03,0.3008085632895002,0.020789572123269935
pubmed,ins,03,0.2993138373155453,0.033484022382399836
babylon,ins,04,0.3942373199896634,0.13192144149223578
gcd,ins,04,0.38641644325290436,0.15370866845397677
kaggle,ins,04,0.40439674272724657,0.03401145224872673
pubmed,ins,04,0.3995150878156856,0.04003511433058828
babylon,ins,05,0.4952780322785256,0.1305001527004487
gcd,ins,05,0.5077747989276139,0.16979445933869527
kaggle,ins,05,0.5031508071245648,0.03425603545017696
pubmed,ins,05,0.5011615199488811,0.04056660674935653
babylon,sub,01,0.040853243122606714,0.0838325463387131
gcd,sub,01,0.03753351206434316,0.09705093833780161
kaggle,sub,01,0.048139728944263806,0.059246683739533276
pubmed,sub,01,0.03854812992302318,0.03467241554346593
babylon,sub,02,0.08248173467709728,0.08123663871073837
gcd,sub,02,0.07953529937444147,0.09454870420017873
kaggle,sub,02,0.09443789025407878,0.08026645181710931
pubmed,sub,02,0.0764751900533284,0.0351382178880044
babylon,sub,03,0.12149082622688938,0.11033194728310664
gcd,sub,03,0.12386058981233244,0.13118856121537087
kaggle,sub,03,0.13853480275084165,0.12014790090064167
pubmed,sub,03,0.11453363033209318,0.04470508142583292
babylon,sub,04,0.16185072943829729,0.139321540160218
gcd,sub,04,0.16997319034852548,0.15370866845397677
kaggle,sub,04,0.18864558455385147,0.15286450090639658
pubmed,sub,04,0.15240694403802857,0.05506022585441885
babylon,sub,05,0.20363192144149223,0.1621796227124298
gcd,sub,05,0.20393208221626452,0.167828418230563
kaggle,sub,05,0.23328921244209133,0.18450205737634162
pubmed,sub,05,0.19016082124536438,0.06022585441885186
