,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic stroke secondary to af is a lay_waste_to event but is largely preventable with appropriate oral anticoagulation,cardioembolic stroke secondary to af is a rare event but is largely preventable with appropriate oral anticoagulation
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and prevail trials demonstrated that the watchman forget atrial appendage blockage device in combination with shortterm warfarin therapy be noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the safety and safety trials demonstrated that the watchman free atrial appendage closure device  in combination with shortterm warfarin therapy is noninferior to longtermwarfarins with respect to a composite endpoint of stroke cardiovascular death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although directacting oral anticoagulant are superior to warfarin in eligible patients several important af populations exist in whom leave atrial appendage closure may be preferable to doac,although directacting oral anticoagulants are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage closure may be preferable to doac
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage perennial gastrointestinal bleeding and affected_role undergo transcatheter aortic valve replacement or left atrial electrical isolation,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated thrombosis be an crucial complication of laac and doac whitethorn equal discriminatory to warfarin for prevention and treatment of this complication remain undiscovered,devicerelated thrombosis is an important complication of laac and doac may be discriminatory to warfarin for prevention and treatment of this complication remains unexplored
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective clinical trial comparing doac to laac in these unique population are either ongoing or needed,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,to investigate the prevalence of comorbidities among female patients with generalize osteoarthritis in comparison to an senesce and sex match control group,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group
8,74732,to identify clusters of comorbidities in both groups,to identify cluster of comorbidities in both groups,to identify clusters of comorbidities in both groups
9,74733,an observational crosssectional study was conducted,an observational crosssectional study constitute conducted,an observational crosssectional study was conducted
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,back-to-back female patients with hand and knee osteoarthritis according to the American college of rheumatology classification standard be invited to participate in the study,back female patients with hand and knee osteoarthritis according to the american college of rheumatology classification criteria were invited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participant without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression be read Indiana both group,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in both study groups comorbidity cluster and factor analysis was perform,in both study groups comorbidity cluster and factor analysis was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the following comorbidities constitute note adjusted to bonferroni correction with a significantly gamey prevalence among individuals with hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo and surgery due to otoclerosis,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo and surgery due to otoclerosis
15,74739,we report a high comorbidity rate in goa,we report a high comorbidity rate in Goa,we report a high comorbidity rate in goa
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allow uracil to identify different comorbidity subsets for vascular gastrointestinal and malignant gynecological disorders,cluster analysis allows us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to understand the links between goa and nonmusculoskeletal comorbidities
18,74742,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is concerning,there is Associate_in_Nursing increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is refer,there is an increasing incidence of diverticulosis and divertulitis in the younger populations and its occurrence in very young individuals is referred
19,74743,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant,his abdominal examination revealed meek tenderness inch the right lower abdominal quadrant,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant
