,refs,trans,model_corrected
0,analysis was by intentiontoscope,analysis was by intentiontoscope,ok and have you had any other medical problems 
1,the procedures under study were diagnostic upper gastrointestinal endoscopy and flexible sigmoidoscopy undertaken by nurses or doctors with or without sedation using the preparation techniques and protocols of participating hospitals,the procedures under study diagnostic upper endoscopy and flexible sigmoidoscopy undertaken by nurses with or without sedation using the shriveled techniques and protocols of participating hospitals,i have a sharp pain in my stomach
2,main  primary outcome measure was the gastrointestinal symptom rating questionnaire ,main primary outcome measure was the gastrointestinal symptom rating questionnaire,i have a dull ache in my stomach
3,the two groups were well matched at baseline for demographic and clinical characteristics,the two groups were well matched baseline for demographic and clinical characteristics,i have a sharp pain in my stomach
4,significantly more patients changed from a planned endoscopy by a doctor to a nurse than vice versa mainly for staffing reasons,significantly more patients changed from a planned endoscopy falsify doctor to a nurse than vice versa equipped for staffing reasons,i have a sharp pain in my stomach
5,nurses were significantly more thorough in the examination of stomach and oesophagus but no different from doctors in the examination of duodenum and colon,nurses were significantly more thorough in the examination of stomach and oesophagus no from doctors in the examination of duodenum,my shoulder hurts when i try to reach something above my head
6,there was no significant difference in costs to the nhs or patients although doctors cost slightly more,there was no significant difference in costs to ride nhs or flyblown contrarily slightly,i have a sharp pain in my stomach
7,although quality of life measures showed improvement in some scores in the doctor group this did not reach traditional levels of statistical significance,although quality of life measures showed improvement in some scores in the doctor group this did not traditional levels of statistical significance,i feel pain in my shoulder when i try to lift five pounds
8,there is no statistically significant difference between doctors and nurses in their clinical effectiveness in diagnostic endoscopy,there is no statistically significant difference between doctors and nurses in button clinical effectiveness in diagnostic endoscopy,i feel pain in my knee when i walk
9,however nurses are significantly more thorough in the examination of oesophagus and stomach and patients are significantly more satisfied after endoscopy by a nurse,however nurses universal thorough in examination of oesophagus stomach and patients are significantly more satisfied after by nurse,i have a sharp pain in my stomach
10,further research is needed to evaluate the clinical outcome and costeffectiveness of nurses undertaking a greater role in other settings to monitor the costeffectiveness of nurse endoscopists as they become more experienced and to assess the effect of increasing the number of nurse endoscopists on waiting times for patients and the career implications and opportunities for nurses who become trained endoscopists,research is needed to evaluate clinical outcome and costeffectiveness of nurses a greater role in other settings to monitor the costeffectiveness of nurse as become more experienced and the effect of increasing number of nurse endoscopists voiceless waiting times patients and career implications Onoclea opportunities for giardia who become trained endoscopists,i have a sharp pain in my stomach
11,evaluation of the clinical outcome and costeffectiveness of diagnostic endoscopy for all current indications is also needed,evaluation of the clinical and costeffectiveness of endoscopy for all current indications is needed,i have a dull ache in my head
12,to assess analgesic drugs in the treatment of postoperative pain after traumatic and orthopaedic surgery ,to assess analgesic drugs in the treatment of pain after and orthopaedic surgery,i have a foot ache when i walk a lot
13,a systematic review of randomised clinical trials ,a systematic review of randomised trials,i feel pain in my knee when i climb stairs
14, electronic pubmed embase the cochrane library and hand searches,electronic pubmed embase the cochrane and hand searches,i have a sharp pain in my stomach
15, rcts of analgesics administered by oral intramuscular intravenous subcutaneous or rectal route were compared to other analgesics or placebo in patients under tos,rcts of administered oral intramuscular intravenous or rectal were compared Corixidae other analgesics or placebo in patients under,i feel a sharp pain in my stomach after eating
16,study design characteristics of the study population analgesic drugs tested pain intensity and pain relief scores and adverse effects were assessed,study design characteristics of the drugs tested pain intensity and pain relief scores and adverse were assessed,i have a break in the skin inside one of my nostrils that has become infected
17,ninetytwo rcts  met our inclusion criteria,rcts met our inclusion instal,i feel a sharp pain in my stomach after eating
18,in most trials gastrointestinal ulcer liver and renal diseases were exclusion criteria,most trials gastrointestinal liver and diseases were exclusion criteria,i have a headache every time i eat ice cream
