,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,stroke secondary to is but oral,stroke secondary to acute pancreatitis is rare but oral treatment is effective
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and trials demonstrated watchman closure device combination with warfarin therapy is noninferior longterm warfarin with a composite of cardiovascular death systemic embolism,the protect and rescue trials demonstrated that the watchman closure device in combination with warfarin therapy is a noninferior longterm treatment for postoperative complications of warfentanil with a composite risk of cardiovascular death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the reduction in lifethreatening bleeding compared to oac,importantly the reduction in lifethreatening bleeding was compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although directacting are to warfarin in eligible patients several populations exist left atrial appendage closure be preferable doac,although directacting agents are available to warfarin in eligible patients several populations exist where left atrial appendage closure may be preferable to doac
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations consideration of laac include patients to endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal and transcatheter aortic or,patients under consideration of laac include patients with endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and transcatheter aortic or pulmonary embolism
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,is an of laac and may be preferential to warfarin for of this complication remains unexplored,is an example of laac and may be preferential to warfarin for treatment of this complication remains unexplored
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective clinical trials to unique are either ongoing,randomized clinical trials to identify unique cases are either underway or ongoing
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,investigate the comorbidities generalized osteoarthritis in to an age and sex group,gastrointestinal comorbidities and generalized osteoarthritis in children were compared to an age and sex group
8,74732,to identify clusters of comorbidities in both groups,to of both groups,to compare the results of both groups
9,74733,an observational crosssectional study was conducted,was,was it a coincidence 
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,patients hand and to american of rheumatology classification criteria were to participate in,patients meeting hand and hand criteria according to american society of rheumatology classification criteria were invited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participants without musculoskeletal history rheumatic were included,a control group of participants without musculoskeletal history or rheumatic disease were included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,cardiovascular pulmonary gastrointestinal diseases depression recorded in both,cardiovascular pulmonary gastrointestinal diseases and depression were recorded in both groups
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in both groups comorbidity cluster and was performed,a comorbidity cluster analysis and metaanalysis was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the comorbidities adjusted to with a significantly prevalence hypertension uterine leiomyoma reflux disease gastrointestinal tract ulcers depression vertigo due to otoclerosis,the comorbidities adjusted to age were associated with a significantly higher prevalence of hypertension uterine leiomyoma reflux disease gastrointestinal tract ulcers depression and vertigo due to otoclerosis
15,74739,we report a high comorbidity rate in goa,we report high comorbidity in goa,we report a high incidence of comorbidity in goa
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allowed us to identify different comorbidity subsets malignant gynaecological disorders,different comorbidity subsets of malignant gynaecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,research is required to the goa nonmusculoskeletal,research is required to determine the role of goa in nonmusculoskeletal diseases
18,74742,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is concerning,there is incidence of diverticulosis and diverticulitis in younger and in young individual is concerning,there is an increasing incidence of diverticulosis and divertulitis in younger individuals and in young individual patients which is concerning
19,74743,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant,his examination tenderness in the right abdominal quadrant,his physical examination revealed tenderness in the right abdominal quadrant
20,74744,computed tomography  scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes suggestive of acute diverticulitis in the distal ascending colon,computed with contrast revealed scattered diverticula pericolonic changes suggestive of diverticulitis the distal ascending,computed tomography with contrast revealed scattered diverticula and pericolonic changes suggestive of divertulitis in the distal ascending colon
21,74745,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved,treated with intravenous hydration and when his status improved,he wastreated with intravenous hydration and when discharged his nutritional status improved
22,74746,this case illustrates the importance of considering acute diverticulitis in the differential diagnosis of right lower quadrant pain when evaluating a young patient,case importance of considering acute diverticulitis diagnosis of right pain a,case report importance of considering acute diverticulitis diagnosis of right lower quadrant pain a case report
23,74747,intestinal tuberculosis is an infectious disease of the extrapulmonary manifestation with the mycobacteria tuberculosis complex,intestinal tuberculosis is of the extrapulmonary manifestation with tuberculosis complex,intestinal tuberculosis is one of the most common extrapulmonary manifestation in patients with tuberculosis complex
24,74748,in developed countries this disease is rarely seen,this rarely seen,this is rarely seen in children
25,74749,the clinical features are heterogeneous and unspecific,the clinical features are and unspecific,the clinical features are nonspecific and unspecific
26,74750,furthermore intestinal tuberculosis poses diagnostic challenges,furthermore intestinal tuberculosis diagnostic,intestinal tuberculosis diagnostic challenge
27,74751,regarding intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus pcr examination and culture methods show only poor sensitivity and specificity,regarding tuberculosis the staining for acidfast bacillus pcr culture methods show poor and specificity,the staining for acidfast bacillus pcr culture methods show poor sensitivity and specificity
28,74752,in this case series we present three patients suffering from intestinal tuberculosis who were diagnosed and treated successfully,this case three patients suffering from intestinal tuberculosis who were diagnosed and treated,this case report describes three patients suffering from intestinal tuberculosis who were diagnosed and treated
29,74753,furthermore we review the literature about the pitfalls of the diagnostic approaches and the treatment options of intestinal tuberculosis,we review the the pitfalls of the diagnostic treatment options intestinal,we review the current knowledge and the pitfalls of the diagnostic and treatment options for intestinal cancer
30,74754,the prevalence of obesity continues to rise and along with it comes a multitude of healthrelated consequences,of obesity along with comes a healthrelated,of obesity along with diabetes comes a number of healthrelated problems
31,74755,the healthcare community has consistently struggled with providing treatment options to obese patients in part due to the reluctance of patients in pursuing the more effective  surgical approaches such as sleeve gastrectomy and roueny gastric bypass,the community has struggled with providing treatment in to the of in pursuing more surgical approaches such gastric,the medical community has struggled with providing adequate treatment in order to meet the needs of patients in pursuing more surgical approaches such as gastric bypass
32,74756,on the other hand the less invasive approach such as lifestylebehavioral interventions and pharmacotherapy  have very limited efficacy especially in the morbidly obese patients,on the other hand less invasive such pharmacotherapy have efficacy the patients,on the other hand less invasive pharmacotherapy may have efficacy in the patients
33,74757,despite our best efforts the epidemic of obesity continues to rise and pose enormous costs on our healthcare system and society,our best efforts the obesity continues to and pose on healthcare system and society,despite best efforts the obesity epidemic continues to grow and pose challenges on the healthcare system and society
34,74758,bariatric endoscopy is an evolving field generated to combat this epidemic through minimally invasive techniques,bariatric endoscopy is evolving generated combat this invasive techniques,bariatric endoscopy is evolving with new technologies generated to combat this invasive techniques
35,74759,these procedures can be performed in an ambulatory setting are potentially reversible repeatable and pose less complications than their invasive surgical counterparts,can be performed an setting are potentially reversible repeatable less complications than their invasive surgical,they are potentially reversible and repeatable and have less complications than their invasive surgical counterparts
36,74760,these modalities are designed to alter gut metabolism by means of space occupation malabsorption or restriction,these modalities are designed to metabolism by space malabsorption or,these modalities are designed to modify metabolism by space malabsorption or biofeedback
37,74761,in this review we will discuss different bariatric endoscopic options  their advantages and disadvantages and suggest a new paradigm where providers may start incorporating this modality in their treatment approach for obese patients,in this we will different bariatric options their advantages and and suggest a new where providers may start incorporating modality their for obese patients,in this article we will discuss different bariatric options their advantages and disadvantages and suggest a new approach where providers may start incorporating this modality into their care for obese patients
38,74762,diagnosis of malignancy in the vermiform appendix is quite rare,diagnosis of malignancy in the appendix is rare,diagnosis of malignancy in the appendix is rare
39,74763,the most common histological malignant neoplasia found in this tiny portion of the gastrointestinal tract is represented by the mucinous adenocarcinoma,the common histological found this tiny the gastrointestinal tract by the mucinous adenocarcinoma,the most common histological finding was this tiny tumor of the gastrointestinal tract characterized by the mucinous adenocarcinoma
40,74764,early diagnosis is outside the rule since most cases at this stage are symptomless,early is the since at stage,early diagnosis is the most important since at least one stage
41,74765,physical examination and laboratory workup were poor in diagnostic findings,physical and laboratory workup were poor in findings,physical examination and laboratory workup were poor in both findings
42,74766,the computed tomography images were compatible with the diagnosis of appendicitis andor appendiceal neoplasia,the tomography were compatible the diagnosis of appendicitis neoplasia,the results of computed tomography were compatible with the diagnosis of appendicitis neoplasia
43,74767,the patient underwent a laparotomy and right hemicolectomy,the patient underwent hemicolectomy,the patient underwent hemicolectomy
44,74768,the patient outcome was uneventful and was referred to an oncological center,the patient was uneventful and was,the patient was uneventful and was discharged
45,74769,the increased prevalence of reflux disease in obese patients combined with widespread availability of laparoscopic antireflux surgery has increased the likelihood that more patients will seek bariatric surgery having previously undergone fundoplication,increased prevalence patients combined laparoscopic antireflux surgery has increased the likelihood patients will seek bariatric surgery having undergone,increased prevalence of patients undergoing combined laparoscopic and antireflux surgery has increased the likelihood that patients will seek bariatric surgery having undergone previous procedures
46,74770,this study examined our series of laparoscopic bariatric surgery after previous antireflux surgery without takedown of the previous fundoplication,our series of laparoscopic bariatric surgery after surgery without takedown of the previous fundoplication,laparoscopic bariatric surgery after gastrointestinal surgery without takedown of the previous fundoplication
47,74771,we discuss our results our technique and the tips and tricks to avoid complication after this procedure,discuss our results our technique the tips and complication,our results demonstrate that our technique avoids the tips and complication
48,74772,we operated on patients suffering from obesity who had already undergone laparoscopic nissen,we suffering obesity already undergone laparoscopic nissen,we have patients suffering from obesity who have already undergone laparoscopic nissen gastric bypass
49,74773,the patients were eligible for bariatric surgery according to the french national institute of healths criteria for bariatric surgery,patients were eligible for bariatric surgery national of healths criteria for,patients were eligible for bariatric surgery using national institutes of healths criteria for inclusion
50,74774,the preoperative assessment involved gastroscopy with biopsies looking for helicobacter pylori oesophagogastroduodenoscopy investigation for sleep apnoea syndrome and a full laboratory assessment,the preoperative involved gastroscopy biopsies looking helicobacter oesophagogastroduodenoscopy investigation for syndrome and full assessment,the preoperative investigation involved gastroscopy biopsies looking for helicobacter pylori oesophagogastroduodenoscopy investigation for irritable bowel syndrome and full stool assessment
51,74775,the patients took part in their choice of surgery,the patients took part in choice of surgery,the patients took part in the choice of surgery
52,74776,the patients postoperative course was uncomplicated,the patients postoperative course was uncomplicated,the patients postoperative course was uncomplicated
53,74777,no patients had symptoms of gastroesophageal reflux late after surgery and good gastrointestinal comfort was achieved ,symptoms reflux late after surgery and good gastrointestinal comfort was achieved,symptoms disappeared late after surgery and good gastrointestinal comfort was achieved
54,74778,all of the patients were satisfied,of patients satisfied,of these patients all were satisfied
55,74779,all patients exhibited significant weight loss,exhibited weight,exhibited weight loss
