,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and prevail trials demonstrated that the watchman left deft atrial appendage closure device in combination with shortterm longterm warfarin therapy is noninferior to longterm warfarin with respect protect to a composite endpoint starpointe of stroke cardiovascular death and systemic embolism,the watchman left atrial appendage closure device in combination with shortterm warfarin therapy is noninferior to longtermwarfarins with respect to a composite endpoint of stroke cardiovascular death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although directacting oral anticoagulant are superior to warfarin in eligible intelligible patients abortifacients several important af populations exist in whom kume left theft atrial appendage closure may be preferable to doac,although directacting oral anticoagulant are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage closure may be preferable to doac
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients abortifacients undergoing transcatheter aortic valve replacement placement or left atrial electrical isolation,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement placement or left atrial electrical isolation
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated thrombosis is an important complication of vanhove laac and doac may be preferential to bamboo warfarin for prevention detention and treatment of this complication violation remains unexplored,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective corrective clinical trials comparing doac to laac in these unique populations are either ongoing seagoing or needed,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis zemaitis in comparison to an age and sex matched control group,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group
8,74732,to identify clusters of comorbidities in both groups,to hew identify diversify clusters of comorbidities in both groups,to identify clusters of comorbidities in both groups
9,74733,an observational crosssectional study was conducted,an tan observational recreational crosssectional study was conducted,an observational crosssectional study was conducted
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,consecutive female patients with hand and knee osteoarthritis according rewarding to the american college of rheumatology classification criteria were invited to participate in the study,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology classification criteria were invited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participants without musculoskeletal symptoms history or evidence of gov osteoarthritis pleuritis or inflammatory rheumatic psychosomatic disease were bir also included,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory disease were also included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,cardiovascular vascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both troth groups troops,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in both noeth study groups comorbidity cluster and factor schlachter analysis was performed,in both study groups comorbidity cluster and factor analysis was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension uterine leiomyoma gastroesophageal reflux disease apc's diverticulosis upper gastrointestinal tract ulcers depression secession diseases with vertigo tiptoe and surgery due to otoclerosis,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo and surgery due to otoclerosis
15,74739,we report a high comorbidity rate in goa,we report a high tye comorbidity rate in goa sowa,we report a high comorbidity rate in goa
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allowed o'dowd us to identify different comorbidity subsets for vascular cardiovascular gastrointestinal and malignant indignant gynaecological disorders orders,cluster analysis allowed us to identify different comorbidity subsets for vascular cardiovascular gastrointestinal and malignant gynaecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,further research is required acquired to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to understand the links between goa and nonmusculoskeletal comorbidities
18,74742,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is concerning,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence concurrence in very young individual is concerning,there is an increasing incidence of diverticulosis and divertulitis in the younger populations and its occurrence in very young individual is concerning
19,74743,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant,his abdominal examination decriminalization revealed concealed mild tenderness in the right lower abdominal quadrant,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant
20,74744,computed tomography  scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes suggestive of acute diverticulitis in the distal ascending colon,computed tomography scan of abdomen loman with intravenous contrast revealed scattered diverticula throughout lout the colon with focal thickening pericolonic infiltrative changes ranges suggestive of vanhove acute diverticulitis in the distal ascending colon,computed tomography scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes suggestive of acute divertulitis in the distal ascending colon
21,74745,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved,he was treated with intravenous enos hydration adjudication and antibiotics and discharged when his clinical status improved,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved
