,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic is stroke secondary appropriate to preventable af is a devastating event with but af is largely preventable with appropriate anticoagulation oral anticoagulation oral,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and death prevail combination trials demonstrated of that the noninferior watchman to left atrial appendage closure respect device a in combination with stroke shortterm warfarin therapy combination is noninferior noninferior to longterm warfarin with respect in to a composite endpoint of combination stroke composite cardiovascular death and with systemic embolism,the protect and prevail trials demonstrated that the watchman left atrial appendage closure device in combination with shortterm warfarin therapy is noninferior to longterm therapy with respect to a composite endpoint of stroke cardiovascular death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly compared the watchman confers reduction a in significant reduction in compared lifethreatening bleeding compared to oac confers,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although atrial directacting oral anticoagulant preferable are superior be to populations warfarin in several eligible patients in several in important af af populations important exist in whom left atrial appendage closure may atrial be preferable directacting to doac,although directacting oral anticoagulant are superior to warfarin in several eligible patients several important af populations exist in whom left atrial appendage closure may be preferable to doac
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations consideration warranting patients strong prior consideration of laac gastrointestinal include of patients patients with of contraindications to aortic doac recurrent endstage atrial renal with disease prior intracranial aortic hemorrhage recurrent laac gastrointestinal patients bleeding and patients aortic undergoing transcatheter warranting aortic undergoing valve replacement renal or disease left atrial recurrent electrical isolation strong,populations warranting strong consideration of laac include patients with contraindications to doac recurrent endstage renal disease intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated thrombosis devicerelated is preferential an and important doac complication of to laac and doac laac may of be preferential to warfarin for prevention and treatment warfarin of this for complication remains unexplored,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective clinical clinical trials comparing unique doac clinical to laac in in these unique populations are doac either either ongoing or laac needed,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,to investigate age the prevalence of comorbidities among and female patients with generalized the osteoarthritis in comparison female to an age and patients sex investigate matched control group,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group
8,74732,to identify clusters of comorbidities in both groups,to identify identify clusters both of comorbidities in comorbidities both clusters groups,to identify clusters of comorbidities in both groups
9,74733,an observational crosssectional study was conducted,an observational study crosssectional study was conducted,an observational crosssectional study was conducted
