,Unnamed: 0,refs,trans,model_corrected
0,105993,glad to have been of service thank you for using the cambridge towninfo centre have a great day,glad to have on been of service thatll thank you for using the cambridge who towninfo centre have a great day,refine the sentence: glad to have on been of service thatll thank you for using the cambridge who towninfo centre have a great day to: 
1,105994,i am looking for a moderately priced restaurant in the north part of town what do you have available,i am looking for a moderately priced restaurant in the north part of town what do you have available,refine the sentence: i am looking for a moderately priced restaurant in the north part of town what do you have available to: 
2,105995,i show two restaurants that fit your criteria one is chinese and one is indian which one would you like to find out more about,i show two restaurants that fit your criteria one is don chinese and one some is indian which one would you like to find out more about,refine the sentence: i show two restaurants that fit your criteria one is don chinese and one some is indian which one would you like to find out more about to: 
3,105996,please tell me the address and phone number of the indian restaurant,please tell me the address and phone number of the indian restaurant,refine the sentence: please tell me the address and phone number of the indian restaurant to: 
4,105998,thats all i need thank you goodbye,thats all wasn y need thank you youll goodbye,refine the sentence: thats all y need thank you youll goodbye to: 
5,105999,thank you for choosing our system good bye,thank you for choosing system good bye,refine the sentence: thank you for choosing system good bye to: 
6,106001,i have found the allenbell guesthouse it meets all of your criteria is in the cheap price range and provides internet and parking would you like me to book it,i have found the allenbell guesthouse it meets all of your criteria is in the cheap price range and provides internet and parking would you like me to book it,refine the sentence: i have found the allenbell guesthouse it meets all of your criteria is in the cheap price range and provides internet and parking would you like me to book it to: 
7,106004,thank you that is it for today goodbye,thank you that is it for today goodbye,refine the sentence: thank you that is it for today goodbye to: 
8,106005,okay great have a safe trip goodbye,okay great have a safe trip goodbye,refine the sentence: okay great have a safe trip goodbye to: 
9,106006,i need help i was robbed,i need help i was thatll robbed,refine the sentence: i need help i was thatll robbed to: 
10,106008,can i get the address i would like to go directly to the station,ahn i get the address i would like to go directly to the station,refine the sentence: ahn i get the address i would like to go directly to the station to: 
11,106010,nope you have been great,nope was you have been great,refine the sentence: nope was you have been great to: 
12,106011,im so glad to have helped you have a pleasant time at the police station now,im so brad to against have helped you have a pleasant time at the police station now further,refine the sentence: im so brad to have helped you have a pleasant time at the police station now further to: 
13,106012,can you help direct me a restaurant called golden house,can you up help direct me a restaurant called golden house yourself,refine the sentence: can you up help direct me a restaurant called golden house yourself to: 
