,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic stroke secondary to is but preventable oral,cardioembolic stroke secondary to portal hypertension is a rare but preventable complication of oral hypertension
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,demonstrated watchman in combination with warfarin therapy is noninferior to warfarin to composite stroke death and,demonstrated that watchman treatment in combination with warfarin therapy is noninferior to conventional therapy with or without therapy whereas the combination of watchmen therapy and chemotherapy leads to a composite reduction in stroke death and morbidity
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman a reduction in,importantly the watchman experienced a reduction in pain
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,anticoagulant are superior in eligible important whom left atrial closure be preferable,anticoagulant formulations are superior in eligible patients with important complications in whom left atrial balloon closure may be preferable
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations warranting strong of include with to disease intracranial hemorrhage gastrointestinal bleeding and patients undergoing transcatheter left,populations warranting a strong prognosis include patients with mild to moderate disease  intracranial hemorrhage  gastrointestinal bleeding  and patients undergoing transcatheter left ventricular assist device 
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated is an of laac doac may preferential to warfarin prevention of,devicerelated toxicity is an independent predictor of laac and doac may be preferential to warfarin in the prevention of postoperative complications
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective clinical doac laac these unique are either or,these unique findings are either nonspecific or clinically relevant
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,the prevalence among female patients generalized in comparison to sex control group,the prevalence of female patients was generalized in comparison to the sex control group 
8,74732,to identify clusters of comorbidities in both groups,to identify clusters both,to identify clusters of both groups
9,74733,an observational crosssectional study was conducted,observational study conducted,a prospective cohort study was conducted
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,consecutive female with knee osteoarthritis according the american college classification invited to in the study,patients with knee osteoarthritis according to the american college of osteoesophagogastroduodenoscopy classification were invited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control musculoskeletal history or of osteoarthritis or inflammatory rheumatic disease were also included,a control group of patients with musculoskeletal history or symptoms of osteoarthritis or inflammatory rheumatic disease were also included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,obstructive pulmonary gastrointestinal diseases depression recorded,obstructive pulmonary gastrointestinal diseases and depression were recorded
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in and was performed,in both groups a laparoscopy and an esophagogastroduodenal examination was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the were observed adjusted correction significantly higher prevalence among uterine reflux disease diverticulosis upper depression with to,the differences were observed with adjusted correction and were significantly higher among patients with uterine reflux disease  diverticulosis  upper gastrointestinal bleeding  and depression  compared with patients not adjusted to correction
15,74739,we report a high comorbidity rate in goa,report rate,report of perioperative complication rate
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster us to and gynaecological disorders,cluster us to investigate the association between obesity and gynaecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,research links between and comorbidities,research links between obesity and comorbidities
18,74742,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is concerning,there is diverticulosis and diverticulitis in populations and occurrence young individual concerning,there is a high prevalence of diverticulosis and splenomegaly in older populations and the occurrence in young individual patients is concerning
19,74743,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant,abdominal examination revealed lower abdominal quadrant,abdominal examination revealed lower abdominal pain in the right quadrant
20,74744,computed tomography  scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes suggestive of acute diverticulitis in the distal ascending colon,of abdomen contrast throughout with focal pericolonic infiltrative of acute in the ascending,of the abdomen contrast throughout the whole abdomen with focal pericolonic infiltrative cells of the acute abdomen in the ascending colon
21,74745,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved,he intravenous and discharged his,he was given intravenous morphine and discharged from his hospital
