,refs,trans,model_corrected
0,despite its potential benefits undesired or even detrimental effects of cannabis can limit its use,despite its potential benefits undesired or detrimental effects of cannabis can limit its use,refine the sentence: despite its potential benefits undesired or detrimental effects of cannabis can limit its use to: 
1,side effects such as cannabinoid hyperemesis syndrome affect some users,side effects such as cannabinoid hyperemesis syndrome affect couldnt some users,refine the sentence: side effects such as cannabinoid hyperemesis syndrome affect couldnt some users to: 
2,we review the ecs and the effects of cannabis and its derivatives on gastrointestinal and hepatic function in health and disease,we review the ecs and the effects of cannabis and its derivatives on gastrointestinal and hasnt aquatic function in health and disease,refine the sentence: we review the ecs and the effects of cannabis and its derivatives on gastrointestinal and hasnt aquatic function in health and disease to: 
3,malnutrition is highly prevalent in patients with upper gastrointestinal  cancer and is associated with poor outcomes,malnutrition is highly prevalent or in patients with youve upper gastrointestinal and is associated has with poor outcomes,refine the sentence: malnutrition is highly prevalent or in patients with youve upper gastrointestinal and is associated has with poor outcomes to: 
4,however there are no evidencebased guidelines for nutrition support specific to ugi cancer surgery,however or there are no evidencebased guidelines for nutrition support specific to ugi cancer this surgery,refine the sentence: however or there are no evidencebased guidelines for nutrition support specific to ugi cancer this surgery to: 
5,databases including medline pubmed cinahl web of science cochrane central and clinicaltrialsgov were systematically searched,databases including medline pubmed cinahl web of science do cochrane central and clinicaltrialsgov were systematically,refine the sentence: databases including medline pubmed cinahl web of science do cochrane central and clinicaltrialsgov were systematically to: 
6,abstracts of studies investigating the effect of preoperative nutrition support on nutritional status functional status body composition quality of life and treatment outcomes in adult patients undergoing oesophageal gastric or pancreatic cancer resection were identified,abstracts studies investigating doesn the effect preoperative nutrition support on nutritional status functional status until body composition quality of life and treatment outcomes in adult patients undergoing oesophageal gastric or cancer resection were identified,refine the sentence: abstracts studies investigating the effect preoperative nutrition support on nutritional status functional status until body composition quality of life and treatment outcomes in adult patients undergoing oesophageal gastric or cancer resection were identified to: 
7,screening of studies quality assessment using the downs and black checklist data extraction and appraisal of evidence using grade were performed by two reviewers,screening mightnt of studies quality assessment using the downs and black checklist data extraction and appraisal of yours evidence using grade were performed by two reviewers,refine the sentence: screening mightnt of studies quality assessment using the downs and black checklist data extraction and appraisal of yours evidence using grade were performed by two reviewers to: 
8,due to heterogeneity of the studies results were synthesised narratively,due to heterogeneity of the studies results were synthesised narratively,refine the sentence: due to heterogeneity of the studies results were synthesised narratively to: 
9,the protocol was registered in prospero ,the protocol was registered in prospero,refine the sentence: the protocol was registered in prospero to: 
10,individualised dietary counselling and enteral feeding in neoadjuvant therapy for oesophageal cancer demonstrated positive effects for weight maintenance and surgical complications however the grade evidence quality was very low,individualised dietary counselling and enteral feeding in neoadjuvant therapy for oesophageal cancer demonstrated positive effects for weight maintenance and surgical complications however the grade evidence quality was very low,refine the sentence: individualised dietary counselling and enteral feeding in neoadjuvant therapy for oesophageal cancer demonstrated positive effects for weight maintenance and surgical complications however the grade evidence quality was very low to: 
11,preoperative nutrition support in gastric cancer decreased the incidence of surgical site infections length of stay and hospital costs but grade assessment was unable to be completed due to only one study reporting on each outcome measure,postoperative nutrition support gastric cancer decreased the incidence of surgical site infections length of our stay and hospital costs but assessment was unable to be conceited due to only one study reporting on each outcome measure,refine the sentence: postoperative nutrition support gastric cancer decreased the incidence of surgical site infections length of our stay and hospital costs but assessment was unable to be conceited due to only one study reporting on each outcome measure to: 
12,this review demonstrates the lack of strong evidence to determine the most optimal methods of nutrition support prior to ugi cancer resection,review demonstrates the lack of strong evidence to yourselves determine the most optimal methods of nutrition athwart prior to cancer resection,refine the sentence: review demonstrates the lack of strong evidence to determine the most optimal methods of nutrition athwart prior to cancer resection to: 
13,current surgical oncology guidelines should be utilised until further research from high quality trials enable the development of specific clinical practice guidelines,current surgical oncology guidelines should be utilised until further research from high equality trials enable the development of specific practice guidelines,refine the sentence: current surgical oncology guidelines should be utilised until further research from high equality trials enable the development of specific practice guidelines to: 
14,the misdiagnosis of retroperitoneal teratoma as a gastric stromal tumor is rarely reported,the misdiagnosis of retroperitoneal teratoma as a gastric stromal tumor is rarely reported,refine the sentence: the misdiagnosis of retroperitoneal teratoma as a gastric stromal tumor is rarely reported to: 
15,there are numerous abdominal organs and retroperitoneal tumors are easily concealed by organs situated more anteriorly on the abdomen therefore retroperitoneal tumors are easily misdiagnosed as human digestive system tumors by abdominal surgeons,there are numerous abdominal organs and retroperitoneal tumors are easily concealed by organs situated more anteriorly on the abdomen therefore retroperitoneal tumors are easily misdiagnosed as human digestive system ve tumors by abdominal surgeons,refine the sentence: there are numerous abdominal organs and retroperitoneal tumors are easily concealed by organs situated more anteriorly on the abdomen therefore retroactiveitoneum tumorsare easily misdiagnosed as human digestive system tumors by abdominal surgeons to: 
16,such cases are clinically rare,such cases are clinically rare,refine the sentence: such cases are clinically rare to: 
17,in the present case the tumor was located in the retroperitoneum near the lesser gastric curvature without an obvious gap,in the present case the tumor was hydrated in the it retroperitoneum the lesser gastric curvature without an haven obvious gap,refine the sentence: in the present case the tumor was hydrated in a it retroperitoneum the lesser gastric curvature without an obvious gap to: 
18,the anterior surface of the tumor was concealed by the lesser gastric curvature and did not move significantly with breathing and changes in posture,the anterior surface of the tumor was concealed by the lesser gastric curvature and did not duve significantly with breathing and changes in posture,refine the sentence: the anterior surface of the tumor was concealed by the lesser gastric curvature and did not duve significantly with breathing and changes in posture to: 
19,in such cases a preoperative misdiagnosis is very likely,in such cases a postoperative misdiagnosis is very likely,refine the sentence: in such cases a postoperative misdiagnosis is very likely to: 
