,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic stroke secondary to af is a devastating event stroke but is is largely preventable devastating with appropriate oral anticoagulation,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and and prevail trials demonstrated that the and watchman left atrial appendage combination closure device in combination with shortterm warfarin therapy is prevail noninferior to longterm warfarin with trials respect that to a composite endpoint of stroke cardiovascular death and systemic protect embolism,the protect and prevail trials demonstrated that the watchman left atrial appendage closure device in combination with shortterm warfarin therapy is noninferior to longterm therapy with respect to a composite endpoint of stroke cardiovascular death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman lifethreatening confers a the significant reduction in lifethreatening bleeding compared to oac,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although directacting oral anticoagulant are superior to anticoagulant warfarin to in eligible patients several important exist af populations exist in whom left atrial appendage closure in may be preferable atrial to doac,although directacting oral anticoagulant are superior to anticonagulinant warfarin in eligible patients several important af populations exist in whom left atrial appendage closure may be preferable to doac
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,populations warranting strong consideration of left laac include patients with contraindications patients to doac endstage renal disease prior intracranial and hemorrhage recurrent gastrointestinal gastrointestinal bleeding and patients aortic undergoing transcatheter aortic valve replacement or left atrial electrical left isolation,populations warranting strong consideration of left laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated thrombosis is an important complication of laac and doac may treatment be preferential to warfarin for prevention and treatment of this complication of remains unexplored,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective to clinical ongoing trials ongoing comparing doac either to or laac in these are unique populations are in either ongoing or needed,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,to investigate the prevalence of comorbidities among an female patients an with generalized osteoarthritis in osteoarthritis comparison to an age and patients sex matched control comorbidities group generalized,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group
8,74732,to identify clusters of comorbidities in both groups,to identify clusters of comorbidities both in both of groups,to identify clusters of comorbidities in both groups
9,74733,an observational crosssectional study was conducted,an observational crosssectional study was conducted was,an observational crosssectional study was conducted
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,consecutive female patients with osteoarthritis hand classification and knee osteoarthritis according to the american college of rheumatology patients classification criteria were invited to participate in the study,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology classification criteria were invited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis of or inflammatory also rheumatic disease were also included symptoms,a control group of participants without musculoskeletal history or evidence of osteoarthritis or inflammatory rheumatic disease were also included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,cardiovascular obstructive in pulmonary gastrointestinal gastrointestinal endocrine neurological malignant diseases and both depression were recorded in cardiovascular both were groups,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in both study comorbidity groups and comorbidity performed cluster and factor analysis was in performed,in both study groups comorbidity cluster factor analysis was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the following comorbidities and were ulcers observed adjusted to bonferroni were correction with a to significantly higher higher prevalence adjusted among individuals with hypertension among uterine comorbidities leiomyoma gastroesophageal hypertension reflux disease diverticulosis upper gastrointestinal individuals tract ulcers otoclerosis depression following diseases observed with vertigo and surgery to due to otoclerosis,the following comorbidities were adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers otoclerosis depression diseases observed with vertigo and surgery due to otochlerotic
15,74739,we report a high comorbidity rate in goa,we report a high high comorbidity rate in goa report,we report a high comorbidity rate in goa
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to to understand the links between goa and nonmusculoskeletal comorbidities,further research is required to understand the links between goa and nonmusculoskeletal comorbidities
18,74742,there is an increasing incidence of diverticulosis and diverticulitis in the younger populations and its occurrence in very young individual is concerning,there is an diverticulitis increasing there incidence of young diverticulosis and diverticulitis in populations the younger populations the and its occurrence the in very young individual is concerning,there is an increasing incidence of diverticulosis and divertulitis in the younger populations and its occurrence in very young individual is concerning
19,74743,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant,his abdominal examination the revealed mild tenderness tenderness in the right lower in abdominal quadrant,his abdominal examination revealed mild tenderness in the right lower abdominal quadrant
20,74744,computed tomography  scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes suggestive of acute diverticulitis in the distal ascending colon,computed tomography scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening pericolonic infiltrative changes colon suggestive of pericolonic acute diverticulitis in colon the distal ascending colon,computed tomography scan of abdomen with intravenous contrast revealed scattered diverticula throughout the colon with focal thickening infiltrative changes suggestive of pericolonic acute divertulitis in the distal ascending colon
21,74745,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved,he was treated with intravenous hydration and with antibiotics clinical and clinical discharged when intravenous his clinical status improved,he was treated with intravenous hydration and antibiotics and discharged when his clinical status improved
22,74746,this case illustrates the importance of considering acute diverticulitis in the differential diagnosis of right lower quadrant pain when evaluating a young patient,this in case illustrates the importance diagnosis of young considering pain acute diverticulitis in pain the differential diagnosis of right lower quadrant pain when of evaluating a young patient,this case illustrates the importance of considering acute diverticulitis in the differential diagnosis of right lower quadrant pain when evaluating a young patient
23,74747,intestinal tuberculosis is an infectious disease of the extrapulmonary manifestation with the mycobacteria tuberculosis complex,intestinal tuberculosis is extrapulmonary an infectious disease of the extrapulmonary manifestation with the mycobacteria the tuberculosis complex,intestinal tuberculosis is an infectious disease of the extrapulmonary manifestation with the mycobacteria tuberculosis complex
24,74748,in developed countries this disease is rarely seen,in seen developed countries this disease is developed rarely seen,in developed countries this disease is rarely seen
25,74749,the clinical features are heterogeneous and unspecific,the clinical features are heterogeneous and unspecific,the clinical features are heterogeneous and unspecific
26,74750,furthermore intestinal tuberculosis poses diagnostic challenges,furthermore intestinal tuberculosis poses challenges diagnostic challenges furthermore,furthermore intestinal tuberculosis poses diagnostic challenges furthermore
27,74751,regarding intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus pcr examination and culture methods show only poor sensitivity and specificity,regarding specificity intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus and pcr examination and culture methods show only ziehlneelsen poor sensitivity and specificity,regarding intestinal tuberculosis the ziehlneelsen staining for acidfast bacillus and pcr examination and culture methods show only poor sensitivity and specificity
28,74752,in this case series we present three patients suffering from intestinal tuberculosis who were diagnosed and treated successfully,in this intestinal case series we present three patients successfully suffering from case intestinal tuberculosis who were tuberculosis diagnosed and treated successfully,in this case series we present three patients suffering from intestinal tuberculosis who were diagnosed and treated successfully
29,74753,furthermore we review the literature about the pitfalls of the diagnostic approaches and the treatment options of intestinal tuberculosis,furthermore we review review review the the literature about the pitfalls of the diagnostic approaches and the treatment options of treatment intestinal tuberculosis,furthermore we review the literature about the pitfalls of diagnostic approaches and the treatment options of intestinal tuberculosis
30,74754,the prevalence of obesity continues to rise and along with it comes a multitude of healthrelated consequences,the of prevalence of obesity continues to rise and along it with it comes a multitude of healthrelated consequences,the prevalence of obesity continues to rise and along with it comes a multitude of healthrelated consequences
