,Unnamed: 0,refs,trans,model_corrected
0,74724,cardioembolic stroke secondary to af is a devastating event but is largely preventable with appropriate oral anticoagulation ,cardioembolic throw secondary to af is a devastating event devastating but but is preventable with appropriate oral anticoagulation,cardioembolic shock secondary to af is a devastating event but is preventable with appropriate oral anticoagulation
1,74725,the protect and prevail trials demonstrated that the watchman left atrial appendage closure  device in combination with shortterm warfarin therapy is noninferior to longterm warfarin with respect to a composite endpoint of stroke cardiovascular death and systemic embolism,the protect and predominate test show that the watchman left atrial extremity closure device combination in combination with shortterm warfarin therapy therapy is in noninferior to to longterm closure to a composite endpoint death systemic embolism,the safety and efficacy test demonstrated that the watchman left atrial extremity closure device in combination with warfarin therapy is noninferior to longterm closure in a composite endpoint of death and systemic embolism
2,74726,importantly the watchman confers a significant reduction in lifethreatening bleeding compared to oac,importantly the watchman confers a significant in reduction in lifethreatening to oac,importantly the watchman confers a significant reduction in lifethreatening complications compared to oac
3,74727,although directacting oral anticoagulant  are superior to warfarin in eligible patients several important af populations exist in whom left atrial appendage  closure may be preferable to doac,although directacting oral anticoagulant be superior to warfarin in eligible patients several important af eligible populations exist in exist whom atrial appendage closure preferable to,although directacting oral anticoagulants are superior to warfarin in eligible patients several important af populations exist in whom atrial appendage closure is preferable to surgery
4,74728,populations warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing transcatheter aortic valve replacement or left atrial electrical isolation,population warranting strong consideration of laac include patients with contraindications to doac endstage renal recurrent disease recurrent prior gastrointestinal intracranial hemorrhage disease recurrent gastrointestinal bleeding doac and undergoing valve replacement atrial isolation,population warranting strong consideration of laac include patients with contraindications to doac endstage renal disease prior intracranial hemorrhage recurrent gastrointestinal bleeding and patients undergoing valve replacement or atrial isolation
5,74729,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for prevention and treatment of this complication remains unexplored,devicerelated thrombosis is Associate_in_Nursing important complication of laac and be doac may and be warfarin preferential to warfarin warfarin may for and,devicerelated thrombosis is an important complication of laac and doac may be preferential to warfarin for treatment of obesity and diabetes
6,74730,prospective clinical trials comparing doac to laac in these unique populations are either ongoing or needed,prospective clinical trials comparing doac to laac in these unique are needed,prospective clinical trials comparing doac to laac in these unique circumstances are needed
7,74731,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison to an age and sex matched control group,to investigate the prevalence of comorbidities among female with patients female with generalized osteoarthritis osteoarthritis in in generalized comparison with an and sex matched group,to investigate the prevalence of comorbidities among female patients with generalized osteoarthritis  in comparison with an age and sex matched group
8,74732,to identify clusters of comorbidities in both groups,to identify clusters of comorbidities both groups,to identify clusters of comorbidities in both groups
9,74733,an observational crosssectional study was conducted,Associate_in_Nursing experimental crosssectional study conducted,an observational crosssectional study was conducted
10,74734,consecutive female patients with hand and knee osteoarthritis according to the american college of rheumatology  classification criteria were invited to participate in the study,straight female affected_role with hand and knee osteoarthritis according to to the american according college of of to rheumatology rheumatology classification of were participate in,straight female patients with hand and knee osteoarthritis according to the american college of rheumatology classification of osteoporosis were recruited to participate in the study
11,74735,a control group of participants without musculoskeletal symptoms history or evidence of osteoarthritis or inflammatory rheumatic disease were also included,a control group of participant without musculoskeletal symptoms history or or evidence symptoms of symptoms or inflammatory rheumatic disease were also included,a control group  participants without musculoskeletal symptoms history or evidence of inflammatory or rheumatic disease were also included
12,74736,cardiovascular obstructive pulmonary gastrointestinal endocrine neurological malignant diseases and depression were recorded in both groups,cardiovascular clogging pulmonary gastrointestinal endocrine neurological depression malignant neurological diseases and depression were recorded in both groups,cardiovascular clogging pulmonary gastrointestinal endocrine neurological depression malignant neurological diseases and depression were recorded in both groups
13,74737,in both study groups comorbidity cluster and factor analysis was performed,in both study groups cluster comorbidity groups cluster and factor was performed,in both study groups comorbidity groups and risk factor analysis was performed
14,74738,the following comorbidities were observed adjusted to bonferroni correction with a significantly higher prevalence among individuals with  hypertension uterine leiomyoma gastroesophageal reflux disease diverticulosis upper gastrointestinal tract ulcers depression diseases with vertigo  and surgery due to otoclerosis,the follow comorbidities be respect adjusted to bonferroni correction with a significantly higher among prevalence among among among individuals hypertension with hypertension uterine leiomyoma uterine gastroesophageal reflux prevalence disease diverticulosis uterine tract ulcers diseases with vertigo due otoclerosis,the following comorbidities were adjusted to bonferroni correction with a significantly higher prevalence among individuals with hypertension leiomyoma gastroesophageal reflux disease diverticulosis uterine tract ulcers and diseases with vertigo due to otoclerosis
15,74739,we report a high comorbidity rate in goa,we report a high high high comorbidity rate in Goa,we report a high comorbidity rate in goa
16,74740,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal and malignant gynaecological disorders,cluster analysis allow us to identify identify different comorbidity subsets for vascular gastrointestinal malignant gynaecological disorders,cluster analysis allowed us to identify different comorbidity subsets for vascular gastrointestinal malignant and gynaecological disorders
17,74741,further research is required to understand the links between goa and nonmusculoskeletal comorbidities,far research is required to the understand the links to goa and comorbidities,further research is required to understand the links to goa and comorbidities
