,refs,trans,model_corrected
0,when i get up i see my skin vague,when i get up i see my skin vague,when i get up i see my skin vague
1,my lungs feel heavy like they are filled with mucus,my lungs feel during heavy like how they are by filled with mucus each,my lungs feel heavy like they are filled with mucus
2,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain,i carried a heavy bag youre yesterday have and when i get up while today i felt a great shoulder on pain its,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain
3,my knee is hurting so badly,my knee is hurting so ain badly,my knee is hurting so badly
4,every time i look to left i feel a sharp pain in my neck,every time i look to left me i few feel a sharp pain in my neck,every time i look to left i feel a sharp pain in my neck
5,my hair is falling out after i take a shower,my hair is falling her out after i doesnt take down a shower while,my hair is falling out after i take a shower
6,i feel joint pain every time i move,i feel ll joint pain by every time myself i move,i feel joint pain every time i move
7,when i force my eyes to view i have blurry vision,when i don force my eyes any to view i them have blurry vision can,when i force my eyes to view i have blurry vision
8,i was travelling by ship and i feel dizzy,i was travelling should by ship and i feel my dizzy,i was travelling by ship and i feel dizzy
9,when i played football i dislocated my shoulder,when my i played football i dislocated hers my don shoulder who,when i played football i dislocated my shoulder
10,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i we have youve a blurry werent vision and i where cant mustn see in thatll the darkness to what is above the reason doctor,i have a blurry vision and i cant see in the darkness  what is the reason doctor 
11,i am always cold even when i am wearing layers,i am its always cold mustn even they when i am for wearing layers where,i am always cold even when i am wearing layers
12,i had an accident and my wound was open when i arrived to hospital,i had an all accident will and my wound was have open when are i arrived to hospital,i had an accident and my wound was open when i arrived to hospital
13,i have a hard muscle pain since i went to the gym,i have a hard muscle they pain since and i went to the gym,i have a hard muscle pain since i went to the gym
14,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help,there is a sharp ain pain in just my bicep i have tried to apply that pain relief cream only but it does not help,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help
15,redness swelling and difficulty walking,redness how swelling and through difficulty walking,redness swelling and difficulty walking
16,i do not know why i feel cold,i because do not know why i as feel cold hers,i do not know why i feel cold
17,my knees swell right below the knee cap and hurt when i put weight on them,my knees mustn swell right below the for knee between cap itself and re hurt when i put weight on them,my knees swell right below the knee cap and hurt when i put weight on them
18,i have cloudy eyes,i have cloudy eyes,i have cloudy eyes
19,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar,the nerves were so any damaged during the operation on my ankle that i isnt cannot or stand being this touched on the scar,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar
20,i got acne when i ate chili,i got both acne when i ate wouldnt chili couldn,i got acne when i ate chili
21,my entire body is freezing,my entire body shant is freezing its,my entire body is freezing
22,i feel very hard to breathe,i because feel our very hard aren to how breathe,i feel very hard to breathe
23,i have muscle pain at my left leg,i have muscle pain how at these my was left leg,i have muscle pain at my left leg
24,it is like i have a needle pushing through my heart,it has is ours like now i other have a needle pushing through my heart,it is like i have a needle pushing through my heart
25,i had alot of exercise yesterday so i feel sharp muscle pains,i ve had alot of exercise yesterday so i feel sharp muscle pains over,i had alot of exercise yesterday so i feel sharp muscle pains
26,the area around my heart doesnt feel good,the area around my heart his doesnt feel its good its,the area around my heart doesnt feel good
27,i feel a pain on the left side of my chest where my heart is,i his feel a pain wouldn on the left side havent of my chest where my heart is,i feel a pain on the left side of my chest where my heart is
28,my abdominal muscles have great pain since i was at gym,my abdominal muscles have great pain since i was at have gym,my abdominal muscles have great pain since i was at gym
29,when i extend my leg there is pain in knee joint,when i extend my leg me there were is shouldve pain in knee joint hadn,when i extend my leg there is pain in knee joint
30,i have a great stomach ache and i cant eat any thing,i have a great off stomach herself ache and i cant eat any thing theirs,i have a great stomach ache  and i cant eat any thing
31,i have pain but i cant specify place,i have pain wont but before i cant specify place mustnt,i have pain but i cant specify place
32,i cannot breathe because of this dull ache below my left shoulder,i cannot breathe because of in this dull ache below them my left shoulder to,i cannot breathe because of this dull ache below my left shoulder
33,i feel a pain in my back when i sit on a chair for long,i should feel a pain in my back when i sit on a too chair for had long them,i feel a pain in my back when i sit on a chair for long
34,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her eyebrows threaded didn and it do pulled an opening of why skin youve in one of her brows that is shouldn now puffy and were oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing
35,had i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel,had i about stepped on a needle my it wouldnt have does hurt so much neednt like were this damned than spur in my so heel needn,had i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel
36,i have some pain when im walking around my knees,i have havent some who pain when im walking am around my knees,i have some pain when im walking around my knees
37,i cut myself and im bleeding,i cut myself and im didn bleeding hadnt,i cut myself and im bleeding
38,my hair is coming out in chunks especially when i wash it,my hair is were coming out in chunks especially when i wash down it during,my hair is coming out in chunks especially when i wash down it
39,there are lots of hairs on my pillow in the morning,there same are lots of hairs same on where my pillow in the between morning,there are lots of hairs on my pillow in the morning
40,i have a head pain every single day,i have a any head pain every single day,i have a head pain every single day
41,when i get out of bed in the morning my body feels very weak,when i from get out youd of yours bed dont in the morning while my wasnt body thatll feels very weak,when i get out of bed in the morning my body feels very weak
42,when i play sports  i have some burning sensation in my spine,when i ll play sports i have during some burning sensation there in own my spine the,when i play sports  i have some burning sensation in my spine
43,my foot hurts and i cant turn it  maybe its broken,my once foot hers hurts and i cant has turn it from maybe to its broken,my foot hurts and i cant turn it  maybe its broken
44,i have a dull ache in my stomach  it gets worse after i eat,i have a what dull ache hasn in my not stomach shouldnt it is gets mightn worse after them i eat,i have a dull ache in my stomach  it gets worse after i eat
45,my knee doesnt want to bend well,my knee off doesnt want some to further bend each well,my knee doesnt want to bend well
46,in the morning my respiration is loud,in the morning them my other respiration is loud,in the morning my respiration is loud
47,i was very active in sports but now my body is feeling pain,i was very with active in sports but now my body is but feeling pain,i was very active in sports but now my body is feeling pain
48,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of we my ear her properly i wasn feel like there which is something should in yours it over causing during irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation
49,i can hardly move my neck  it hurts,i can hardly move my neck it hurts yourselves,i can hardly move my neck  it hurts
50,i have a sharp pain in my lower stomach,i have a sharp pain few in aren my lower stomach,i have a sharp pain in my lower stomach
51,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to him leap out of hadn my body it only hurts such,it feels like my heart is going to leap out of my body it hurts
52,im having a hard time hearing,im having than a hard time hearing,im having a hard time hearing
53,there is a tingling sensation in my neck,there is a our tingling sensation in my neck youd,there is a tingling sensation in my neck
54,i have shooting pains up and down my back,i have shooting pains up and down my during back more,i have shooting pains up and down my back
55,i have a sharp pain in my abdomen,i have they a sharp pain in under my abdomen,i have a sharp pain in my abdomen
56,is my cut infected or just healing,is my cut infected and or youll just healing,is my cut infected and or just healing
57,my knee feels weak and it gave way the other day at the top of the stairs  luckily there was a rail to hold on to,my ll knee feels weak when and it not gave through way the other shouldve day should at the no top of ours the stairs to luckily there was a dont rail if to hold on ma to,my knee feels weak and it gave way the other day at the top of the stairs  luckily there was a rail to hold on to
58,mr hair is falling out just by combing it,mr hair is by falling out just by combing it then,mr hair is falling out just by combing it
59,my heart is pumping fast and im having a hard time to breath,my heart is pumping any fast below and im itself having himself a hard against time to breath,my heart is pumping fast and im having a hard time to breath
60,i think theres fluid in my ears,i think theres up fluid needn in my ears has,i think theres fluid in my ears
61,i hit myself and the would doesnt want to heal,i my hit myself those and the would doesnt want to heal,i hit myself and the would doesnt want to heal
62,after eating  i have burning sensation inside of me,after mustn eating how i have youll burning sensation inside of needn me,after eating  i have burning sensation inside of me
63,even if the temperature is high in the house  my body is always cold,even if the was temperature other is high shes in wasnt the house weren my body is always cold,even if the temperature is high in the house  my body is always cold
64,my acne is really embarassing its so read,my acne needn is wasnt really wasn embarassing its so now read,my acne is really embarassing its so now read
65,i have the impression of having no strength in my body,i have the impression of having no strength in my body,i have the impression of having no strength in my body
66,i have constant stomach pain and bloating,i have constant myself stomach pain thatll and bloating ma,i have constant stomach pain and bloating
67,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like youll this for two our weeks,my sore isnt healing well and its been like this for two weeks
68,my head hurts in the back and the pain lasts all day,my head hurts hasn in its the back and there the me pain lasts all day,my head hurts in the back and the pain lasts all day
69,i have a rash and it itches very bad,i have a all rash and is it you itches very bad,i have a rash and it itches very bad
70,i feel really sad all the time,i feel herself really sad all the time,i feel really sad all the time
71,my husband left me for another woman my heart hurts so badly to the point i cant eat or sleep,my husband left me for another woman my its heart hurts nor so badly to the point i cant eat each or sleep,my husband left me for another woman my heart hurts so badly to the point i cant eat or sleep
72,when im driving my eyes see in double,when im him driving on my eyes see in double,when im driving my eyes see in double
