,refs,trans,model_corrected
0,despite its potential benefits undesired or even detrimental effects of cannabis can limit its use,despite its potential benefits undesired or detrimental effects of cannabis can limit its use,despite its potential benefits undesired or detrimental effects of cannabis can limit its use
1,side effects such as cannabinoid hyperemesis syndrome affect some users,side effects such as cannabinoid hyperemesis syndrome affect couldnt some users,side effects such as cannabinoid hyperemesis syndrome affect some users
2,we review the ecs and the effects of cannabis and its derivatives on gastrointestinal and hepatic function in health and disease,we review the ecs and the effects of cannabis and its derivatives on gastrointestinal and hasnt aquatic function in health and disease,we review the ecs and the effects of cannabis and its derivatives on gastrointestinal and hepatic function in health and disease
3,malnutrition is highly prevalent in patients with upper gastrointestinal  cancer and is associated with poor outcomes,malnutrition is highly prevalent or in patients with youve upper gastrointestinal and is associated has with poor outcomes,malnutrition is highly prevalent in patients with upper gastrointestinal  and is associated with poor outcomes
4,however there are no evidencebased guidelines for nutrition support specific to ugi cancer surgery,however or there are no evidencebased guidelines for nutrition support specific to ugi cancer this surgery,however there are no evidencebased guidelines for nutrition support specific to ugi cancer surgery
5,databases including medline pubmed cinahl web of science cochrane central and clinicaltrialsgov were systematically searched,databases including medline pubmed cinahl web of science do cochrane central and clinicaltrialsgov were systematically,database databases including medline pubmed cinahl web of science cochrane central and clinicaltrialsgov were systematically searched
6,abstracts of studies investigating the effect of preoperative nutrition support on nutritional status functional status body composition quality of life and treatment outcomes in adult patients undergoing oesophageal gastric or pancreatic cancer resection were identified,abstracts studies investigating doesn the effect preoperative nutrition support on nutritional status functional status until body composition quality of life and treatment outcomes in adult patients undergoing oesophageal gastric or cancer resection were identified,abstracts studies investigating the effect of preoperative nutrition support on nutritional status functional status body composition quality of life and treatment outcomes in adult patients undergoing oesophageal gastric or cancer resection were identified
7,screening of studies quality assessment using the downs and black checklist data extraction and appraisal of evidence using grade were performed by two reviewers,screening mightnt of studies quality assessment using the downs and black checklist data extraction and appraisal of yours evidence using grade were performed by two reviewers,screening of studies quality assessment using the downs and black checklist data extraction and appraisal of evidence using grade were performed by two reviewers
8,due to heterogeneity of the studies results were synthesised narratively,due to heterogeneity of the studies results were synthesised narratively,due to heterogeneity of the studies results were synthesised narratively
9,the protocol was registered in prospero ,the protocol was registered in prospero,the protocol was registered in prospero
10,individualised dietary counselling and enteral feeding in neoadjuvant therapy for oesophageal cancer demonstrated positive effects for weight maintenance and surgical complications however the grade evidence quality was very low,individualised dietary counselling and enteral feeding in neoadjuvant therapy for oesophageal cancer demonstrated positive effects for weight maintenance and surgical complications however the grade evidence quality was very low,individualised dietary counselling and enteral feeding in neoadjuvant therapy for oesophageal cancer demonstrated positive effects for weight maintenance and surgical complications however the grade of evidence quality was very low
11,preoperative nutrition support in gastric cancer decreased the incidence of surgical site infections length of stay and hospital costs but grade assessment was unable to be completed due to only one study reporting on each outcome measure,postoperative nutrition support gastric cancer decreased the incidence of surgical site infections length of our stay and hospital costs but assessment was unable to be conceited due to only one study reporting on each outcome measure,postoperative nutrition support for gastric cancer decreased the incidence of surgical site infections length of stay and hospital costs but assessment was unable to be conceited due to only one study reporting on each outcome measure
12,this review demonstrates the lack of strong evidence to determine the most optimal methods of nutrition support prior to ugi cancer resection,review demonstrates the lack of strong evidence to yourselves determine the most optimal methods of nutrition athwart prior to cancer resection,this review demonstrates the lack of strong evidence to determine the most optimal methods of nutrition support prior to cancer resection
13,current surgical oncology guidelines should be utilised until further research from high quality trials enable the development of specific clinical practice guidelines,current surgical oncology guidelines should be utilised until further research from high equality trials enable the development of specific practice guidelines,current surgical oncology guidelines should be utilised until further research from high quality trials enable the development of specific practice guidelines
14,the misdiagnosis of retroperitoneal teratoma as a gastric stromal tumor is rarely reported,the misdiagnosis of retroperitoneal teratoma as a gastric stromal tumor is rarely reported,the misdiagnosis of retroperitoneal teratoma as a gastric stromal tumor is rarely reported
15,there are numerous abdominal organs and retroperitoneal tumors are easily concealed by organs situated more anteriorly on the abdomen therefore retroperitoneal tumors are easily misdiagnosed as human digestive system tumors by abdominal surgeons,there are numerous abdominal organs and retroperitoneal tumors are easily concealed by organs situated more anteriorly on the abdomen therefore retroperitoneal tumors are easily misdiagnosed as human digestive system ve tumors by abdominal surgeons,there are numerous abdominal organs and retroperitoneal tumors are easily concealed by organs situated more anteriorly on the abdomen therefore retropecifical carcinoid tumors were easily misdiagnosed as human digestive system tumors by abdominal surgeons
16,such cases are clinically rare,such cases are clinically rare,such cases are clinically rare
17,in the present case the tumor was located in the retroperitoneum near the lesser gastric curvature without an obvious gap,in the present case the tumor was hydrated in the it retroperitoneum the lesser gastric curvature without an haven obvious gap,in the present case the tumor was located in the retroperitoneum the lesser gastric curvature without an obvious gap
18,the anterior surface of the tumor was concealed by the lesser gastric curvature and did not move significantly with breathing and changes in posture,the anterior surface of the tumor was concealed by the lesser gastric curvature and did not duve significantly with breathing and changes in posture,the anterior surface of the tumor was concealed by the lesser gastric curvature and did not change significantly with breathing and changes in posture
19,in such cases a preoperative misdiagnosis is very likely,in such cases a postoperative misdiagnosis is very likely,in such cases a postoperative misdiagnosis is very likely
20,the aim of the present study was to improve our understanding of the presentation of retroperitoneal teratomas thereby gaining more clinical experience and hopefully reducing the rate of misdiagnosis,the aim of the present study was to improve our understanding of the too presentation of retroperitoneal teratomas thereby been more clinical experience and hopefully reducing the rate of misdiagnosis,the aim of the present study was to improve our understanding of  the presentation of retroperitoneal teratomas thereby gaining more clinical experience and hopefully reducing the rate of misdiagnosis
21,the symptoms included fever coughing and breathing difficulties,the symptoms included fever coughing and breathing difficulties,the symptoms included fever coughing and breathing difficulties
22,a few patients with this infection may only have atypical symptoms which could lead to a misdiagnosis and subsequently further facilitate the spread of the virus,a few out patients with this infection may only have atypical symptoms ditch lead to a misdiagnosis and subsequently further facilitate the behead of the virus,a few patients with this infection may only have atypical symptoms which lead to a misdiagnosis and subsequently further facilitate the spread of the virus
23,she did not have fever coughing or breathing difficulties,she did not have fever coughing or breathing didn difficulties,she did not have fever coughing or breathing difficulties
24,a physical examination revealed no obvious positive signs,a physical examination revealed no obvious positive signs,a physical examination revealed no obvious positive signs
25,her blood pressure was well controlled,her blood pressure ahs well controlled,her blood pressure was well controlled
26,the patient was first diagnosed with gastrointestinal dysfunction,the patient was first diagnosed with gastrointestinal dysfunction those,the patient was first diagnosed with gastrointestinal dysfunction
27,careful acquisition of an epidemiological history is necessary to make a correct diagnosis and strategize a treatment plan,careful acquisition of an epidemiological history is for adversary to make a correct diagnosis and strategize a treatment plan,careful acquisition of an epidemiological history is necessary for physician to make a correct diagnosis and strategize a treatment plan
28,the curative treatment of perihilar cholangiocarcinomas and centrally located intrahepatic cholangiocarcinomas often requires major hepatectomy preceded by portal vein embolization,the curative treatment of perihilar cholangiocarcinomas and centrally located intrahepatic cholangiocarcinomas often requires major hepatectomy preceded by portal vein embolization,the curative treatment of perihilar cholangiocarcinomas and centrally located intrahepatic cholsangiarocarinoma often requires major hepatectomy preceded by portal vein embolization
29,this strategy however is associated with a high rate of dropouts before operation or failure of resection at the time of operative exploration,this strategy however is associated with a high rate of dropouts before operation or failure of resection at the time of inoperative exploration,this strategy however is associated with a high rate of dropouts before operation or failure of resection at the time of operative exploration
