,refs,trans,model_corrected
0,analysis was by intentiontoscope,analysis was by intentiontoscope,analysis was by intentiontoscope
1,the procedures under study were diagnostic upper gastrointestinal endoscopy and flexible sigmoidoscopy undertaken by nurses or doctors with or without sedation using the preparation techniques and protocols of participating hospitals,the procedures under study diagnostic upper endoscopy and flexible sigmoidoscopy undertaken by nurses with or without sedation using the shriveled techniques and protocols of participating hospitals,the procedures under study were diagnostic upper endoscopy and flexible sigmoidoscop undertaken by nurses with or without sedation using the same techniques and protocols of participating hospitals
2,main  primary outcome measure was the gastrointestinal symptom rating questionnaire ,main primary outcome measure was the gastrointestinal symptom rating questionnaire,main primary outcome measure was the gastrointestinal symptom rating questionnaire
3,the two groups were well matched at baseline for demographic and clinical characteristics,the two groups were well matched baseline for demographic and clinical characteristics,the two groups were well matched at baseline for demographic and clinical characteristics
4,significantly more patients changed from a planned endoscopy by a doctor to a nurse than vice versa mainly for staffing reasons,significantly more patients changed from a planned endoscopy falsify doctor to a nurse than vice versa equipped for staffing reasons,significantly more patients changed from a planned endoscopy doctor to a nurse than vice versa equipped for staffing reasons
5,nurses were significantly more thorough in the examination of stomach and oesophagus but no different from doctors in the examination of duodenum and colon,nurses were significantly more thorough in the examination of stomach and oesophagus no from doctors in the examination of duodenum,nurses were significantly more thorough in the examination of stomach and oesophagus than from doctors in terms of examining the duodenum
6,there was no significant difference in costs to the nhs or patients although doctors cost slightly more,there was no significant difference in costs to ride nhs or flyblown contrarily slightly,there was no significant difference in costs to ride nhs or ride prs
7,although quality of life measures showed improvement in some scores in the doctor group this did not reach traditional levels of statistical significance,although quality of life measures showed improvement in some scores in the doctor group this did not traditional levels of statistical significance,although quality of life measures showed improvement in some scores in the doctor group this did not reach traditional levels of statistical significance
8,there is no statistically significant difference between doctors and nurses in their clinical effectiveness in diagnostic endoscopy,there is no statistically significant difference between doctors and nurses in button clinical effectiveness in diagnostic endoscopy,there is no statistically significant difference between doctors and nurses in terms of clinical effectiveness in diagnostic endoscopy
9,however nurses are significantly more thorough in the examination of oesophagus and stomach and patients are significantly more satisfied after endoscopy by a nurse,however nurses universal thorough in examination of oesophagus stomach and patients are significantly more satisfied after by nurse,however nurses are more thorough in examination of the oesophagus stomach and patients are significantly more satisfied after consultation by nurse
10,further research is needed to evaluate the clinical outcome and costeffectiveness of nurses undertaking a greater role in other settings to monitor the costeffectiveness of nurse endoscopists as they become more experienced and to assess the effect of increasing the number of nurse endoscopists on waiting times for patients and the career implications and opportunities for nurses who become trained endoscopists,research is needed to evaluate clinical outcome and costeffectiveness of nurses a greater role in other settings to monitor the costeffectiveness of nurse as become more experienced and the effect of increasing number of nurse endoscopists voiceless waiting times patients and career implications Onoclea opportunities for giardia who become trained endoscopists,research is needed to evaluate the clinical outcome and costeffectiveness of nurses a greater role in other settings to monitor the cost effectiveness of nurse as they become more experienced and the effect of increasing number of nurses on waiting times for patients and career implications and opportunities for those who become trained endoscopists
11,evaluation of the clinical outcome and costeffectiveness of diagnostic endoscopy for all current indications is also needed,evaluation of the clinical and costeffectiveness of endoscopy for all current indications is needed,evaluation of the clinical and costeffectiveness of endoscopy for all current indications is needed
12,to assess analgesic drugs in the treatment of postoperative pain after traumatic and orthopaedic surgery ,to assess analgesic drugs in the treatment of pain after and orthopaedic surgery,to assess analgesic drugs in the treatment of pain after general and orthopaedic surgery
13,a systematic review of randomised clinical trials ,a systematic review of randomised trials,a systematic review of randomised trials
14, electronic pubmed embase the cochrane library and hand searches,electronic pubmed embase the cochrane and hand searches,electronic pubmed embase the cochrane and hand searches
15, rcts of analgesics administered by oral intramuscular intravenous subcutaneous or rectal route were compared to other analgesics or placebo in patients under tos,rcts of administered oral intramuscular intravenous or rectal were compared Corixidae other analgesics or placebo in patients under,rts of administered oral intramuscular intravenous or rectal were compared with other analgesics or placebo in patients under
16,study design characteristics of the study population analgesic drugs tested pain intensity and pain relief scores and adverse effects were assessed,study design characteristics of the drugs tested pain intensity and pain relief scores and adverse were assessed,study design characteristics of the drugs tested pain intensity and pain relief scores and adverse effects were assessed
17,ninetytwo rcts  met our inclusion criteria,rcts met our inclusion instal,rts met our inclusion criteria
18,in most trials gastrointestinal ulcer liver and renal diseases were exclusion criteria,most trials gastrointestinal liver and diseases were exclusion criteria,most trials of gastrointestinal liver and other diseases were exclusion criteria
19,globally only nine trials  were double blind described dropouts or withdrawals performed analysis by intention to treat and reported the effects magnitude,globally only nine ruin were double blind described dropouts or withdrawals performed analysis by to treat reported the effects magnitude,twenty nine patients were double blind described dropouts or withdrawals performed analysis by to treat reported the effects magnitude
20,evidence from rcts on the treatment of postoperative pain after tos is inadequate for clinical decision making,from rcts on the treatment postoperative pain after tos is for clinical making,from rcts on the treatment of postoperative pain after tos is for clinical decision making
21,assessment of analgesics in pain after tos should be based on agreed clinically relevant outcomes in representative patients and for longer observation periods,assessment of analgesics in pain snore should Godard based agreed clinically relevant outcomes in representative patients for longer observation periods,assessment of analgesics in pain should be based on agreed clinically relevant outcomes in representative patients for longer observation periods
22,in addition it should include direct comparisons between candidate drugs or their combinations and between various drug administration schedules,addition it include direct comparisons due candidate or between various drug administration,in addition it should include direct comparisons due to candidate or between various drug administration
23,to assess the utility of upper endoscopy  and upper gastrointestinal  contrast studies in the evaluation of weight regain after previous bariatric surgery,to the composed flighty endoscopy upper gastrointestinal five the evaluation stylization weight regain after previous bariatric,to review the composed flighty endoscopy upper gastrointestinal five the evaluation of weight regain after previous bariatric
24,we retrospectively reviewed the findings of egd and ugi studies for patients referred to our center for weight regain after bariatric surgery,we artistic reviewed the findings egd and ugi studies for patients referred to our center for regain bariatric surgery,we have reviewed the findings of egd and ugi studies for patients referred to our center for weight regain after bariatric surgery
25,all patients received a dietary assessment concomitant with the anatomic evaluations,all patients received a dietary assessment bookfair with anatomic nescience,all patients received a dietary assessment bookfair with anatomic nescience
26,egd and ugi contrast studies are complementary in the evaluation of patients with weight regain after bariatric surgery,and ugi contrast studies complementary in evaluation of patients weight after bariatric surgery,and ugi contrast studies complementary in evaluation of patients weight after bariatric surgery
27,egd provided more useful pouch and stomal information and the ugi study detected esophageal or roux limb abnormalities that frequently require additional evaluation,egd provided more pouch and stomal and the study detected esophageal or roux limb abnormalities that frequently require additional,egd provided more pouch and stomal space and the study detected esophageal or roux limb abnormalities that frequently require additional embolization
28,the carney triad is a rare syndrome of unknown aetiology with synchronous or metachronous appearance of rare neoplasms gastrointestinal stromal tumours  pulmonary chondromas and extraadrenal paragangliomas,the carney triad is rare of aetiology with synchronous or metachronous appearance of neoplasms gastrointestinal stromal tumours pulmonary chondromas and extraadrenal,the carney triad is rare of aetiology with synchronous or metachronous appearance of neoplasms gastrointestinal stromal tumours pulmonary chondromas and extraadrenal
29,in most cases the carney triad is incomplete,most the carney triad is incomplete,most the carney triad is incomplete
30,she was diagnosed with the triad after billroth ii gastrectomy for histologically proved gastric gists,was diagnosed the triad after billroth ii royal for histologically proved,was diagnosed the triad after billroth ii royal biopsy for histologically proved
31,the diagnosis of pulmonary chondromas was confirmed by transthoracic computed tomographyguided needle biopsy,the diagnosis of pulmonary chondromas was confirmed by computed tomographyguided sound biopsy,the diagnosis of pulmonary chondromas was confirmed by computed tomographyguided sound biopsy
32,the clinical course of the patient has been uneventful since,the clinical course of the has been uneventful since,the clinical course of the has been uneventful since
33,two different gastric gist lesions as well as the oesophageal leiomyoma and normal tissue were analysed for activating mutations in common hot spots of kit  and plateletderived growth factor receptor alpha  but in all probes wildtype sequences were found,evidenced different gastric gist lesions as well quetch leiomyoma and flavour tissue Frankenstein monopolise mutations in common hot of and plateletderived growth bombardment alpha but ensky all probes wildtype sequences were found,examined different gastric gist lesions as well as leiomyoma and adalimumab mutations in common hot spots and plateletderived growth bombardment alpha but not all probes wildtype sequences were found
34,these results are in accordance with the first published analyses of gist lesions from carney patients,these results in accordance with the first published analyses gist from carney patients,these results in accordance with the first published analyses of gist from carney patients
35,vf were associated with greater frequencies and intensities of abdominal distention  and flatulence  and greater frequency of stools  compared to ch but there were no differences in mean or maximum  stool consistency ,were associated greater frequencies intensities of abdominal roble and greater of stools compared ch but there were no differences in mean or stool,were associated with greater frequencies intensities of abdominal robs and greater stools compared to ch but there were no differences in mean or stool
36,rouxeny gastric bypass  is an effective treatment for severe obesity,bypass is effective treatment for,gastrojejunal bypass is effective treatment for acne
37,however many patients regain weight over time,however many Lazio regain weight,however many people regain weight
38,the mechanisms for this are unclear and several factors may contribute including dilation of the gastrojejunal anastomosis,the for this are factors may contribute including of the gastrojejunal anastomosis,the risk factors may contribute including the gastrojejunal anastomosis
39,this study aimed to assess the feasibility of endoscopic gastrojejunal anastomotic tightening and to determine the effect of tightening on body weight,study tomentum to assess the feasibility of endoscopic gastrojejunal tightening and annulment effect of tightening,study tomentum to assess the feasibility of endoscopic gastrojejunal tightening and the effect of tight
40,eight patients with significant weight regain and dilated gastrojejunal anastomosis after rygb were included in this pilot study,eight with significant dilated gastrojejunal after rygb were included in pilot study,eight patients with significant dilated gastrojejunal after rygb were included in this pilot study
41,sutures were placed endoscopically at the rim of the anastomosis,sutures were placed endoscopically at the of the anastomosis,sutures were placed endoscopically at the base of the anastomosis
42,when tightened the sutures formed tissue placations reducing the size of the anastomotic aperture,when tightened sutures formed tissue placations reducing the size of anastomotic aperture,when tight sutures formed tissue placations reducing the size of anastomotic aperture
43,the first patient did not have further weight loss,patient have manageable weight loss,patient have manageable weight loss
