,refs,trans,model_corrected
0,i have a painful cramp in my feet, halve a painful cramp in my feet,I have a painful cramp in my feet
1,the pain feels like its right below the skin,the aine feels like its below the adin,the pain seems like its below the skin
2,i feel suicidal,i feel suicidal,i feel suicidal
3,i feel a sharp pain in my ankle joint when i stand,i feel a  pain in my ankle  larrup when i stand,i feel a palpable pain in my ankle especially when i stand
4,my shoulder hurts me so much,my shoulder bertz me much,my shoulder injury affected me much
5,i have a hair shortage,i halve a ayre shortage,i have a rare care shortage
6,my left ear is ok but the right one feels like its being stabbed with a nail, deft propellent ear   but the right one beals jest its being stabbed mumpsimus a nail,the right one beats its being stabbed with a nail
7,im suffering from sharp cough accompanied by  phlegm,none buffering from harpe joffe accompanied by phlegm,none was accompanied by phlegm
8,i was playing soccer and i twisted my ankle,y was playing  and i my ankle,y was playing with my knee and i my ankle
9,when i move my shoulder its like lightning is being sent through my shoulder,amen  my shoulder bits helix like lightning is being bent ambuscade through my ,amen in my shoulder its helix like lightning is being bent through my skin
10,i have pimples in patches along with a lot of redness on my face,y have pimples in patches along with a Hertz lot redness on my base,y have pimples in patches along with a lot of redness on my face
11,when i brush my hair i notice big clumps of hair coming out in the brush, i brush  hair i notice big clumps of hair dumbing out in the brush,in brush and hair i notice big clumps of hair rolling out in the brush
12,i cant see the sign i have a blurry vision,i cant abd guiltily the sign i halve a blurry vision,i cant remember the sign i have a blurry vision
13,my heart hurts when i exercise,ai restrain heart hurts when i exercise,ai restrain heart rate when i exercise
14,i feel a tightness in my chest,i feel a tightness in my chest,i feel a tightness in my chest
15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason y ahn see a cot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working desk
16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i cooking,i sliced myself with a knife while i was cooking
17,i feel cold,y beal cold,y meal
18,i dont have problems taking in breath but out breath is so heavy,i dont have problems taking in breath but breath ms so heavy,i dont have problems taking in breath but breath is so heavy
19,i feel a lot of pain in the joints,y  a lot of in the joints,y had a lot of swelling in the joints
20,my upper back has been sore for a week,my upper back has been sore for week,my upper back has been sore for a week
21,sometimes i cough because im a smoker,sometimes i cough because im a smoker,sometimes i cough because im a smoker
22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out gov beavin though i have new glasses,my television and computer seem out of date even though i have new glasses
23,my foot hurts me a lot of playing football,ai almandine soot hurts me a lot  playing  Andrew,ai almandine soot hurts me a lot when playing it
24,i have tried to make massage on my foot but they still pain me,i have tried to make barrage clarify bon Matamoros my foot but 'kay still pain ab,i have tried to make a statement on my foot but they still pain me
25,i was playing football and injuried with joint pain,i was playing football and injuried with  assassination,i was playing football and injuried with an assassination
26,my grandmother last year went to hospital because she was having a hard time breathing,my stepmother last year went do hospital because she ahs  regenerate a bard time breathing,my stepmother last year went to hospital because she was unable to regenerate a hard time breathing
27,i feel pain in my eyes i can see fog,i feel pain in my eyes  can  fog,i feel pain in my eyes which can cause fog
28,i feel dizzy and out of sight,i beal roofing dizzy and out of bight,i was dizzy and out of sight
29,my hair is falling when i am combing it,ai ayre is falling when i am combing bit,ai rare when i am combing it
30,he was discovered to have an open wound, was discovered  have an open wound,he was discovered to have an open wound
31,the acne was causing me to feel embarrassed,acne was causing me to feel embarrassed,acne was causing me to feel embarrassed
32,the pain in my ear is unbearable, aine tire in my ear ms comparable,pain in my ear is comparable
33,i feel a pain in my neck,i feel a pain  my neck,i feel a pain in my neck
34,my chest hurts when i smoke,my chest hurts when i smoke,my chest hurts when i smoke
35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder, feel like i went to acupunctures practice had 100 beadles stogy in my shoulder,we feel like i went to acupunctures practice had 100 beads stogy in my shoulder
36,i have a cut that has become red and oozes puss,i have a cut consummate baz diamante ancrum red and tubal  puss,i have a history as diamante red and tubal red puss
37,i cant get a girlfriend because of my acne,i cant bet cerement a girlfriend because of ai acne,i cant get a girlfriend because of by acne
38,i have a foot ache although i dont walk a lot,i have a foot ache bibeault i dont walk a lot,although i dont walk a lot
39,my neck hurts me and i cant stand with this pain,my neck hurts ab and i cant stand with biss pain,my neck hurts so much and i cant stand with this pain
40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel  a cloud on my eyes frederking is blurry,i am having problems seeing things feel like a cloud on my eyes and frederking is blurry
41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,have  unmercifully the adin inside bun of my nostrils batt has ancrum infected and is billed with pus,have discovered the skin inside one of my nostrils that has become infected and is filled with pus
42,chronic bowel pain,avionic wasted aine,chronic wasted pain
43,i feel pain in my foot, feel pain in  foot,to feel pain in the foot
44,i have a break in the skin between my thumb and index finger and it will not close,y have a break in the skin between my and index finger and it not close,y have a break in the skin between my and index finger and it is not close
45,my stomach aches after i drink any soda drink why,my cummock bakes after i drink any soda drink why,my stomach smells after i drink any soda drink why
46,my knees ache on cold and rainy days,my apc's  bon cold and baney days,my apc was on cold and gray days
47,my muscle in my shoulder burns when i move my arm,my bustle in ai shoulder burns when i move ai arm,my shoulder burns when i move by arm
48,i feel pain inside i do not know what it is,i feel pain inside i do not know what it ,i feel pain inside i do not know what it is
49,i have a feeling like my whole body is complaining,i a feeling bike my whole body ms Tulostomataceae complaining,i have a feeling that my whole body is complaining
50,i get terrible headaches every few months and when i get them my vision is affected,y bet terrible headaches reverie throttler few months and when i get them my vision ms affected,y know terrible headaches every few months and when i get them my vision is affected
51,i had a collision while playing soccer  my knee buckled and now its unstable,y had a collision while playing soccer ai a.d. malt chuckled fluke and now its contrabassoon,y had a collision while playing soccer by malt malt fluke and now its disappearance
52,this long scar on my left buttock is from falling off my mountain bike, steps long adar  left buttock is from  leveling off ai fountain bike, steps long adenocarcinoma of the left buttock is from a leveling off by fountain bike
53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold the last time i travelled by plane and i still halve Celtic a discomfort in  ears,i had a cold the last time i travelled by plane and i still have a discomfort in my ears
54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i get  stomach ache after i amit deuterium y havent been able do drypoint which dudes might be the trigger,i amit y havent been able to predict which dudes might be the trigger
55,when i get up i feel dizzy and fall down,when i get up i  dizzy and fall down,when i get up i am dizzy and fall down
56,my skin is itching,my skin is itching,my skin is itching
57,i feel pain in my back,i feel pain in  adak,i feel pain in my neck
58,i have a mental suffering,i have a mental suffering,i have a history of mental suffering
59,i have a dry skin,i have a api adin,i have a high albumin
60,i cant move my leg there is pain in the joint,i  move my leg abair is pain in the chum schoolmate,i can move my leg where there is pain in the abdomen
61,my heart hurts me,ai heart bertz me,ai heart failure me
62,i have a pain in my trapes,i halve a pain in ai amok trapes,i have experienced pain in byok trapes
63,i have tried to relief it but i cant,i have abide to relief it but i cant,i have tried relief it but i cant
64,i feel pain in my right shoulder after the tennis match,y feel aine kiloton in my right shoulder after the tennis bache,y feel pain in my right shoulder after the tennis racket
65,there are some pimples on my face that bother me a lot,there alum pimples on my face  father me a lot,there were some pimples on my face which father me a lot
66,sometimes i feel like a claw on my chest that leaves me breathless,crime's i feel like  claw on my chest leaves me breathless,crimes i feel like a claw on my chest leaves me breathless
67,im not good i feel dizzy,im not good y feel dizzy,im not good enough to feel dizzy
68,my shower drain is full of hair every time,my shower drain is full of ayre reason every time,my shower drain is full of care every time
69,i hve cut my finger because of playing football and i  to apply pain relief cream but it does not help,i hve my linger uniquely because gov fraying Oakland football and y to apply pain belief avrim analyze but reptilian does not delp apprehensive,i hve uniquely because of football and y to apply pain relief to analyze but it does not help
70,i fell a stiffness in my elbows and shoulders,y infantile fell a stiffness  my elbows and boulders,youth was a stiffness of my elbows and boulders
71,my ear ache when im listening to music,ai amphiprostyle ear bake when im listening to cusic please,ai amphiprostyle ear bake when im listening to music please
72,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or pain is felt at alum joint along the front of the body aladeen the neck  upper frohman,discomfort or pain is felt at some point along the front of the body between the neck and upper abdomen
73,i have acne in my face and other problema in my derma like itching,i have acne my base and other problema in ai derma like ditching,i have acne base and other problema in general like ditching
74,i have a pain in my stomach, have a pain in my cummock generate,I have a pain in my stomach
75,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too bickley i start to feel dizzy and lightheaded,when i stand up too often i start to feel dizzy and lightheaded
76,i feel a great pain in my shoulder when i try to lift something heavy,i a pain in my shoulder when i try  lift something heavy,i have a pain in my shoulder when i try to lift something heavy
77,i am having running nose,i am calving running boes,i am having running nosees
78,i get a knee pain when i walk a lot,i get a knee  amen y colonel walk a lot,i get a knee pain when i walk a lot
79,i was watching tv and suddenly have blurry vision,i ahs watching tv and suddenly have blurry vision,i was watching tv and suddenly have blurry vision
80,i have a ear ache when i go to the pool,i halve a ear ache when y disconnected do the buel,i have ear ache when i disconnected to the nasal switch
81,when i force my eyes to view i have blurry vision,crossover i borse ai ayes fairway to view i have blurry vision,by size to view i have blurry vision
82,i do not know why i feel cold,i du not  why i feel cold,i do not understand why i feel cold
83,sometimes when it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when it tie outside my base hurts especially  Blok the pimples are ready to pop,sometimes when it happens outside my base it hurts especially when the pimples are ready to pop
84,i have terrible pain in my heart,i terrible pain in ai,i experienced terrible pain accompanied by vomiting
85,i have eruptions on my face that come and go ,y have corruptions on my face that  and ,y have corruptions on my face that vary and vary
86,i have a hard muscle pain since i went to the gym,i have a hard muscle aine regimented since i went to the dim gibbsite,i have a hard muscle pain since i went to the dim gibbsite
87,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my Desyrel had her eyebrows threaded and acrobat fuld an reopening  skin  one  her brows batt is now buffy and oozing,my daughter had her eyebrows threaded and had an opening of her skin to one of the brows that is now buffy and oozing
88,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have a blurry bushman and y aunt see in the darkness is reason doctor,if you have a headache and y aunt see in the darkness is the reason for doctor
89,i dont do anything at home and still i feel exhausted,i dont do anything at  and feel ,i dont do anything at all and feel good
90,the area around my heart doesnt feel good,the area around my heart,the area around my heart
91,i feel something hurt me in taking breath and i cant take my breath,i feel fibrosity in taking  and i cant take my breath,i feel fibrosity in taking my food and i cant take my breath
92,i have a throbbing in my joints,y a throbbing in ai joints,y had a throbbing sensation in all joints
93,i have a great stomach ache and i cant eat any thing,y cloud have a abate stomach ache and i  eat any thing,y have great stomach ache and i can eat any thing
94,it is like i have a needle pushing through my heart,it is i have a needle pushing through my ahart,it is rare i have a needle pushing through my heart
95,im disappointed,dim disappointed,dim disappointed
96,every time i comb my hair there are so many hair in my comb,every time my there are  flume beni ayre in my comb,every time my symptoms are resolved many times in my comb
97,i felt my heart hurts when i ran for along distance, felt my heart hurts when y for along distance,we felt my heart rate rise when i forked along distance 
98,i usually have a bad cough when i get flu,i usually have a bad cough when  get flu,i usually have a bad cough when i get flu
99,when i bend over i get a shooting pain down my back,when i bend dover i bet Carica a shooting down ai cybernate back,when i bend over i bet a shooting down by the back
100,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,y bizzy when y demander set infront of my laptop for ahn hour cor two what possibly could ab the reason,yizzy when y set infront of my laptop for an hour or two what possibly could be the reason
101,i got acne when i ate chili,i  acne  i ate chili,i had acne after i ate chili
102,i feel a burning sensation in my guts about 2 hours after each meal,slop feel a berning sensation  my guts about rafter each lightly,slop feel a burning sensation in my guts about three hours after each visit
103,my shoulder has agreat pain,ai shoulder has agreat pain,ai shoulder has longstanding pain
104,i have shoulder pain when i try to carry my groceries,i have shoulder aine when i try to carry my groceries,i have shoulder pain when i try to carry my groceries
105,i love to garden but i get a terrible twinge in my lower back when i lean over,y love to garden but i get a  twinge  my lower adak fraction  fleabane over,y love to eat but i get a little twinge in my lower back fraction when over
106,i feel weak all over,beal weak all over,beal weak all over
107,i feel very hard to breathe,i bard occurrence do breathe,i think it is difficult to breathe
108,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my afloat that makes  angle impossible  me  sleep i offen pirogue have to  sitting down,my nose is congested all the time and theres this gluey secretion in my ears that makes the angle impossible for me to sleep i often have to be sitting down
109,i have a pain in my stomach,i have pain trove ai stomach,i have pain frequently by stomach
110,my entire body is freezing,my entire body is freezing,my entire body is freezing
111,yesterday i had a shouder pain,condescendingly i had a shouder aine bargainer,condescending i had a pain relief
112,i got injured exercising,i cot injured exercising,i did not stop exercising
113,i dont have full range of motion with my arms,i dont have full range of motion with my arms,i dont have full range of motion with my arms
114,i feel muscle pain every time i make an extra effort,i feel muscle pain every time i make ahn extra effort,i feel muscle pain every time i make an extra effort
115,my neck is annoying me i cant sleep bacause of it,ai neck is enjoying i   bacause of ,ai neck is the i most commonause of pain
116,i have acne in my face and other problems in my derma like itching,i have acne  my face and other problems in spacecraft derma like  tile,i have acne on my face and other problems in derma like facial tile
117,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now, started aching swimming lessons and i besse i swallowed  much water carilou ai nose because this sinusitis  killing me now,i started taking swimming lessons and i besse i swallowed too much water through the nose because this sinusitis is killing me now
118,i feel a soreness in my knees when i walk,i feel a  overtax in my  canid when i ,i feel a slight overtax in my gastrointestinal tract when i swallow food
119,when i raise my hand i feel pain in my shoulder,amen i amaze my hand i pain seducer ai shoulder,amen i amaze my hand i pain seducer by shoulder
120,my stomach aches after i drink any soda drink why,my stomach bakes i drink any soda drink why,my stomach does i drink any soda drink why
121,i feel a clicking sensation in my knee each time i step,i feel a arethusa sensation ai wolf knee beach beim i depp,i feel a sensation by knee beach time i depp
122,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent carilou my shoulder,when i move my shoulder its like lightning is being sent through myoulder
123,i have acne all over my face,i halve vitalization acne all over my face,i have acne all over my face
